Data provider	Dataset	Collector name	Field number	GUID	Date collected	Institution code	Collection code	Catalogue No	Basis of record	Image url	Last indexed	Identifier	Identification date	Scientific name	Author	Scientific name (interpreted)	Kingdom	Phylum	Class	Order	Family	Genus	Country	Country (interpreted)	Locality	County	Continent or Ocean	State/Province	Region	Provider country	Latitude	Longitude	Coordinate precision	Cell id	Centi cell id	Min depth	Max depth	Max depth	Min altitude	Max altitude	Altitude precision	GBIF portal url	GBIF webservice url	
European Environment Agency	EUNIS					EEA	EUNIS2	9/cA70YbVAeCh/lqZnHWOg==	Unknown		2007-10-10 02:05:18.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Greece			Europe		Southern Europe		35.0	23.0	70000	45203	0							http://data.gbif.org/occurrences/22542962	http://data.gbif.org/ws/rest/occurrence/get?key=22542962
European Environment Agency	EUNIS					EEA	EUNIS2	WGPzLSOiIVA7zgAuqQOiOw==	Unknown		2007-10-10 02:05:54.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Turkey			Europe		Western Asia		36.0	33.0	70000	45573	0							http://data.gbif.org/occurrences/22545018	http://data.gbif.org/ws/rest/occurrence/get?key=22545018
European Environment Agency	EUNIS					EEA	EUNIS2	Pk5x7LL0JcZckiAHr5RTkg==	Unknown		2007-10-10 02:05:26.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				37.0	26.0	70000	45926	0							http://data.gbif.org/occurrences/22544411	http://data.gbif.org/ws/rest/occurrence/get?key=22544411
European Environment Agency	EUNIS					EEA	EUNIS2	m/D30C4YA0yfD+o7LbY2dw==	Unknown		2007-10-10 02:05:24.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Greece			Europe		Southern Europe		38.0	21.0	70000	46281	0							http://data.gbif.org/occurrences/22544169	http://data.gbif.org/ws/rest/occurrence/get?key=22544169
European Environment Agency	EUNIS					EEA	EUNIS2	QKyXFW7Jlh746BwgNlhL+g==	Unknown		2007-10-10 02:05:27.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Italy			Europe		Southern Europe		39.0	8.0	70000	46628	0							http://data.gbif.org/occurrences/22544462	http://data.gbif.org/ws/rest/occurrence/get?key=22544462
European Environment Agency	EUNIS					EEA	EUNIS2	fKxofHwTOP8bVdhMFgz9Ew==	Unknown		2007-10-10 02:05:20.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				39.0	20.0	70000	46640	0							http://data.gbif.org/occurrences/22543480	http://data.gbif.org/ws/rest/occurrence/get?key=22543480
European Environment Agency	EUNIS					EEA	EUNIS2	HUrb3DgM1BLbvhILLPak5A==	Unknown		2007-10-10 02:05:22.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				40.0	21.0	70000	47001	0							http://data.gbif.org/occurrences/22543749	http://data.gbif.org/ws/rest/occurrence/get?key=22543749
European Environment Agency	EUNIS					EEA	EUNIS2	tX+izax16P778nYgRfkC/Q==	Unknown		2007-10-10 02:05:28.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Greece			Europe		Southern Europe		40.0	22.0	70000	47002	0							http://data.gbif.org/occurrences/22544600	http://data.gbif.org/ws/rest/occurrence/get?key=22544600
European Environment Agency	EUNIS					EEA	EUNIS2	bIwpj5qv80PtYEa1Lh3DZg==	Unknown		2007-10-10 02:05:18.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Greece			Europe		Southern Europe		40.0	23.0	70000	47003	0							http://data.gbif.org/occurrences/22543117	http://data.gbif.org/ws/rest/occurrence/get?key=22543117
European Environment Agency	EUNIS					EEA	EUNIS2	YV1L4v/9Mq4LQDTlyYbNRw==	Unknown		2007-10-10 02:05:56.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Greece			Europe		Southern Europe		40.0	24.0	70000	47004	0							http://data.gbif.org/occurrences/22545128	http://data.gbif.org/ws/rest/occurrence/get?key=22545128
