"COREID","DECIMAL_LATITUDE","GEODETIC_DATUM","COORDINATE_UNCERTAINTY_IN_METERS","DECIMAL_LONGITUDE"
"1534","38.10695","WGS84","1000","26.85083"
"1535","37.42000","WGS84","1000","34.56800"
"1536","37.42000","WGS84","1000","34.56800"
"1537","37.42000","WGS84","1000","34.56800"
"1538","37.42000","WGS84","1000","34.56800"
"1539","37.42000","WGS84","1000","34.56800"
"1540","37.07000","WGS84","1000","28.80000"
"1541","37.42000","WGS84","1000","34.56800"
"1542","37.42000","WGS84","1000","34.56800"
"1543","37.42000","WGS84","1000","34.56800"
"1544","37.42000","WGS84","1000","34.56800"
"1545","37.42000","WGS84","1000","34.56800"
"1546","37.42000","WGS84","1000","34.56800"
"1547","37.42000","WGS84","1000","34.56800"
"1548","37.42000","WGS84","1000","34.56800"
"1549","37.42000","WGS84","1000","34.56800"
"1550","37.42000","WGS84","1000","34.56800"
"1551","37.07000","WGS84","1000","28.80000"
"1552","37.42000","WGS84","1000","34.56800"
"1553","37.42000","WGS84","1000","34.56800"
"1554","37.42000","WGS84","1000","34.56800"
"1555","37.42000","WGS84","1000","34.56800"
"1556","37.42000","WGS84","1000","34.56800"
"1557","37.42000","WGS84","1000","34.56800"
"1558","37.42000","WGS84","1000","34.56800"
"1559","37.42000","WGS84","1000","34.56800"
"1560","37.42000","WGS84","1000","34.56800"
"1561","37.07000","WGS84","1000","28.80000"
"1562","37.42000","WGS84","1000","34.56800"
"1563","37.42000","WGS84","1000","34.56800"
"1564","37.42000","WGS84","1000","34.56800"
"1565","37.42000","WGS84","1000","34.56800"
"1566","37.42000","WGS84","1000","34.56800"
"1567","37.40400","WGS84","1000","34.55800"
"1568","37.40400","WGS84","1000","34.55800"
"1569","37.40400","WGS84","1000","34.55800"
"1570","37.40400","WGS84","1000","34.55800"
"1571","37.07000","WGS84","1000","28.80000"
"1572","37.40400","WGS84","1000","34.55800"
"1573","37.40400","WGS84","1000","34.55800"
"1574","37.40400","WGS84","1000","34.55800"
"1575","37.40400","WGS84","1000","34.55800"
"1576","37.40400","WGS84","1000","34.55800"
"1577","37.40400","WGS84","1000","34.55800"
"1578","37.40400","WGS84","1000","34.55800"
"1579","37.40400","WGS84","1000","34.55800"
"1580","37.40400","WGS84","1000","34.55800"
"1581","37.40400","WGS84","1000","34.55800"
"1582","37.07000","WGS84","1000","28.80000"
"1583","37.40400","WGS84","1000","34.55800"
"1584","37.40400","WGS84","1000","34.55800"
"1585","37.40400","WGS84","1000","34.55800"
"1586","37.40400","WGS84","1000","34.55800"
"1587","37.40400","WGS84","1000","34.55800"
"1588","37.40400","WGS84","1000","34.55800"
"1589","37.40400","WGS84","1000","34.55800"
"1590","37.40400","WGS84","1000","34.55800"
"1591","37.40400","WGS84","1000","34.55800"
"1592","37.40400","WGS84","1000","34.55800"
"1593","37.07000","WGS84","1000","28.80000"
"1594","37.40400","WGS84","1000","34.55800"
"1595","37.40400","WGS84","1000","34.55800"
"1596","37.40400","WGS84","1000","34.55800"
"1597","37.40400","WGS84","1000","34.55800"
"1598","37.40400","WGS84","1000","34.55800"
"1599","37.40400","WGS84","1000","34.55800"
"1600","37.40400","WGS84","1000","34.55800"
"1601","37.40400","WGS84","1000","34.55800"
"1602","37.40400","WGS84","1000","34.55800"
"1603","37.40400","WGS84","1000","34.55800"
"1604","37.04000","WGS84","1000","28.76500"
"1605","37.40400","WGS84","1000","34.55800"
"1606","37.40400","WGS84","1000","34.55800"
