Locality	CollectionCode	DecimalLongitude	ScientificName	MinimumElevationInMeters	GUID	Kingdom	InstitutionCode	BasisOfRecord	Class	Country	StateProvince	CatalogNumber	Genus	SpecificEpithet	Order	DecimalLatitude	Family	InfraspecificEpithet	NomenclaturalCode	Phylum	Continent	
Doganbey - Seferihisar. Near sea , 0m. N 38°06´25´´ O 26°51´03´´	B	26.85083	Ballota acetabulosa (L.) Benth.	0	f3d13feb-9424-47e0-a1f5-1dac7eab783a-FOO	Plantae	BGBM	PreservedSpecimen		TR	Ïzmir	1	Ballota	acetabulosa	Lamiales	38.10695	Lamiaceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	B	34.56800	Achillea falcata L.	2350	ceb36e20-f9e1-4447-960e-c5ab90b0dff6-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1035	Achillea	falcata	Asterales	37.42000	Asteraceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	B	34.56800	Centaurea carduiformis var. carduiformis	2350	8252e4cf-f3a0-4e2f-8ed9-76430152e0c8-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1036	Centaurea	carduiformis	Asterales	37.42000	Asteraceae	carduiformis	ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	B	34.56800	Sanguisorba minor subsp. muricata (Spach) Briq.	2350	40c38931-cbd5-4340-b314-0695ff8b72d6-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1037	Sanguisorba	minor	Rosales	37.42000	Rosaceae	muricata	ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	B	34.56800	Xeranthemum annuum L.	2350	6d5455c1-4ec8-4d70-b1d4-e794eeb7a02b-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1038	Xeranthemum	annuum	Asterales	37.42000	Asteraceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	B	34.56800	Astragalus haussknechtii Bunge	2350	9c123849-a680-4a06-b1ed-55409e6da880-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1039	Astragalus	haussknechtii	Fabales	37.42000	Fabaceae		ICBN	Magnoliophyta	Asia	
Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	B	28.80000	Corydalis erdelii Zucc.	2180	274fcdc0-6879-4321-b950-73ac8d726f4d-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	104	Corydalis	erdelii	Papaverales	37.07000	Papaveraceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	B	34.56800	Festuca valesiaca Schleicher ex Gaudin	2350	f8f298c2-5b39-4abc-8c9b-0b10606cbf98-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1040	Festuca	valesiaca	Cyperales	37.42000	Poaceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	B	34.56800	Koeleria macrantha (Ledeb.) Schult.	2350	ac40fe4a-aa73-4b2f-bf21-aa5ffd155cb2-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1041	Koeleria	macrantha	Cyperales	37.42000	Poaceae		ICBN	Magnoliophyta	Asia	
d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	B	34.56800	Onobrychis montana subsp. cadmea (Boiss.) P.W. Ball	2200	c68bdd6a-a98b-488c-863d-a074c8e63099-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1042	Onobrychis	montana	Fabales	37.42000	Fabaceae	cadmea	ICBN	Magnoliophyta	Asia	
