CatalogNumber	Latitude	Longitude
1	38.10695	26.85083
1035	37.42000	34.56800
1036	37.42000	34.56800
1037	37.42000	34.56800
1038	37.42000	34.56800
1039	37.42000	34.56800
104	37.07000	28.80000
1040	37.42000	34.56800
1041	37.42000	34.56800
1042	37.42000	34.56800
1043	37.42000	34.56800
1044	37.42000	34.56800
1045	37.42000	34.56800
1046	37.42000	34.56800
1047	37.42000	34.56800
1048	37.42000	34.56800
1049	37.42000	34.56800
105	37.07000	28.80000
1050	37.42000	34.56800
1051	37.42000	34.56800
1052	37.42000	34.56800
1054	37.42000	34.56800
1055	37.42000	34.56800
1056	37.42000	34.56800
1057	37.42000	34.56800
1058	37.42000	34.56800
1059	37.42000	34.56800
106	37.07000	28.80000
1060	37.42000	34.56800
1061	37.42000	34.56800
1062	37.42000	34.56800
1063	37.42000	34.56800
1065	37.42000	34.56800
1066	37.40400	34.55800
1067	37.40400	34.55800
1068	37.40400	34.55800
1069	37.40400	34.55800
107	37.07000	28.80000
1070	37.40400	34.55800
1071	37.40400	34.55800
1072	37.40400	34.55800
1073	37.40400	34.55800
1074	37.40400	34.55800
1075	37.40400	34.55800
1076	37.40400	34.55800
1077	37.40400	34.55800
1078	37.40400	34.55800
1079	37.40400	34.55800
108	37.07000	28.80000
1080	37.40400	34.55800
1081	37.40400	34.55800
1082	37.40400	34.55800
1083	37.40400	34.55800
1084	37.40400	34.55800
1085	37.40400	34.55800
1086	37.40400	34.55800
1087	37.40400	34.55800
1088	37.40400	34.55800
1089	37.40400	34.55800
109	37.07000	28.80000
1090	37.40400	34.55800
1091	37.40400	34.55800
1092	37.40400	34.55800
1093	37.40400	34.55800
1094	37.40400	34.55800
1095	37.40400	34.55800
1096	37.40400	34.55800
1097	37.40400	34.55800
1098	37.40400	34.55800
1099	37.40400	34.55800
11	37.04000	28.76500
1100	37.40400	34.55800
1101	37.40400	34.55800
1102	37.40400	34.55800
1103	37.40400	34.55800
1104	37.40400	34.55800
1105	37.40400	34.55800
1106	37.40400	34.55800
1107	37.40400	34.55800
1108	37.40400	34.55800
1109	37.40400	34.55800
110a	37.07000	28.80000
110b	37.07000	28.80000
111	37.07000	28.80000
1110	37.40400	34.55800
1111	37.40400	34.55800
1112	37.40400	34.55800
1113	37.40400	34.55800
1114	37.40400	34.55800
1115	37.40400	34.55800
1116	37.40400	34.55800
1117	37.40400	34.55800
1118	37.40400	34.55800
1119	37.40400	34.55800
112	37.07000	28.80000
1120	37.40400	34.55800
1121	37.40400	34.55800
1122	37.40400	34.55800
1123	37.40400	34.55800
1124	37.40400	34.55800
1125a	37.40400	34.55800
1125b	37.40400	34.55800
1126	37.40400	34.55800
1127	37.40400	34.55800
