RemoteID	ID	TaxonName	parentID	acceptedID	Rank	Basionym	Nomen. Ref.	TaxonomicStatus	Nomenclatural Status	
14103	1	Compositae Giseke	0	1	Family	NULL		Accepted		
131773	2	Calendulaceae Cass	1	2	Tribus	NULL		Accepted		
129746	3	Tripterus Less.	2	3	Genus	NULL		Accepted		
130748	4	Tripterus vaillantii Decne.	3	4	Species	Tripteris vaillantii Decne.	"in Ann. Sci. Nat., Bot., ser. 2, 2: 260. 1834"	Accepted		
130921	5	Osteospermum vaillantii (Decne.) Norl.	NULL	4	Species	Tripteris vaillantii Decne.	Stud. Calend.: 305. 1943	Homotypic Synonym		
118963	6	Calendula L.	2	6	Genus	NULL	Sp. Pl.: 921. 1753	Accepted		
7000009	7	Calendula arvensis (Vaill.) L.	6	7	Species	Caltha arvensis Vaill.	"Sp. Pl., ed. 2: 1303. 1763"	Accepted		
7000010	8	Caltha arvensis Vaill.	NULL	7	Species	Caltha arvensis Vaill.	in Königl. Akad. Wiss. Paris Phys. Abh. 5: 558. 1754	Homotypic Synonym		
7000019	9	Calendula officinalis subsp. arvensis (Vaill.) Fiori	NULL	7	Subspecies	Caltha arvensis Vaill.	"in Fiori & Paoletti, Fl. Italia 3: 297. 1904"	Heterotypic Synonym		
120356	10	Calendula aegyptiaca Pers.	NULL	7	Species	Calendula aegyptiaca Pers.	Syn. Pl. 2: 492. 1807	Heterotypic Synonym		
7000011	11	Calendula alata Rech. f.	NULL	7	Species	Caltha arvensis Vaill.	Fl. Iran. 164: 104. 1989	Heterotypic Synonym		
120359	12	Calendula bicolor Raf.	NULL	7	Species	Calendula bicolor Raf.	Caratt. Nuov. Gen.: 82. 1810	Heterotypic Synonym		
7000016	13	Calendula ceratosperma Viv.	NULL	7	Species	Calendula ceratosperma Viv.	Fl. Libyc. Spec.: 59. 1824	Heterotypic Synonym		
120360	14	Calendula crista-galli Viv.	NULL	7	Species	Calendula crista-galli Viv.	Fl. Libyc. Spec.: 59. 1824	Heterotypic Synonym		
120170	15	Calendula echinata DC.	NULL	7	Species	Calendula echinata DC.	Prodr. 6: 453. 1838	Heterotypic Synonym		
7000017	16	Calendula gracilis DC.	NULL	7	Species	Calendula gracilis DC.	Prodr. 6: 453. 1838	Heterotypic Synonym
7703966	17	Calendula macroptera (Rouy) H. J. Coste	NULL	7	Species	Calendula arvensis subsp. macroptera Rouy	Fl. Descr. France 3: 721. 1906	Heterotypic Synonym
120361	18	Calendula malacitana Boiss. & Reut.	NULL	7	Species	Calendula malacitana Boiss. & Reut.	Pugill. Pl. Afr. Bor. Hispan.: 61. 1852	Heterotypic Synonym
