"GUID","MODIFIED","LINK","SOURCE_ID","SCIENTIFIC_NAME","LOCALITY","COLLECTOR","ORDER","CATALOG_NUMBER","GEODETIC_DATUM","GENUS","EARLIEST_DATE_COLLECTED","CONTINENT","INFRASPECIFIC_EPITHET","BASIS_OF_RECORD","FAMILY","COUNTRY","KINGDOM","STATE_PROVINCE","MINIMUM_ELEVATION_IN_METERS","INSTITUTION_CODE","PHYLUM","DECIMAL_LATITUDE","CLASS","SPECIFIC_EPITHET","COLLECTION_CODE","DECIMAL_LONGITUDE"
"3170b210-6254-43d3-9740-de18b261b594","2009-06-03 15:13:54.576","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1","1","Ballota acetabulosa (L.) Benth.","Doganbey - Seferihisar. Near sea , 0m. N 38°06´25´´ O 26°51´03´´","Markus Döring","Lamiales","1","WGS84","Ballota","1999-06-18 00:00:00.0","Asia",,"PreservedSpecimen","Lamiaceae","TR","Plantae","Ïzmir","0","BGBM","Magnoliophyta","38.10695",,"acetabulosa","B","26.85083"
"790699b7-b901-4806-b893-fbe5e7a942aa","2009-06-03 15:13:54.616","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1035","1035","Achillea falcata L.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Asterales","1035","WGS84","Achillea","1999-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"falcata","B","34.56800"
"6ff7f536-1b23-4cb0-af32-90e3bef6d9a3","2009-06-03 15:13:54.641","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1036","1036","Centaurea carduiformis var. carduiformis","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Asterales","1036","WGS84","Centaurea","1990-07-30 00:00:00.0","Asia","carduiformis","PreservedSpecimen","Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"carduiformis","B","34.56800"
"2ab19279-af34-4f54-8847-f1a6381272f8","2009-06-03 15:13:54.672","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1037","1037","Sanguisorba minor subsp. muricata (Spach) Briq.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Rosales","1037","WGS84","Sanguisorba","2005-07-30 00:00:00.0","Asia","muricata","PreservedSpecimen","Rosaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"minor","B","34.56800"
"1465276f-7a1a-4254-87ad-0eac02c0c53b","2009-06-03 15:13:54.689","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1038","1038","Xeranthemum annuum L.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Asterales","1038","WGS84","Xeranthemum","2005-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"annuum","B","34.56800"
"e7fd6430-169b-4aa8-b814-69d036ec0bb3","2009-06-03 15:13:54.714","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1039","1039","Astragalus haussknechtii Bunge","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Fabales","1039","WGS84","Astragalus","2005-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Fabaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"haussknechtii","B","34.56800"
"f71a6952-9ef8-4ee9-a99c-aa1e435e7465","2009-06-03 15:13:54.755","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=104","104","Corydalis erdelii Zucc.","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Markus Döring","Papaverales","104","WGS84","Corydalis","2004-06-21 00:00:00.0","Asia",,"PreservedSpecimen","Papaveraceae","TR","Plantae","Mugla","2180","BGBM","Magnoliophyta","37.07000",,"erdelii","B","28.80000"
"5849d7a2-ee6a-4789-9f12-d04b2aa4eedb","2009-06-03 15:13:54.783","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1040","1040","Festuca valesiaca Schleicher ex Gaudin","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Cyperales","1040","WGS84","Festuca","2003-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Poaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"valesiaca","B","34.56800"
"74543dff-1666-4a0a-b290-9a7a2ec4d8c2","2009-06-03 15:13:54.822","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1041","1041","Koeleria macrantha (Ledeb.) Schult.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Markus Döring","Cyperales","1041","WGS84","Koeleria","2002-07-30 00:00:00.0","Asia",,"PreservedSpecimen","Poaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000",,"macrantha","B","34.56800"
"fe598113-7ecf-4590-b340-8b5c75f258f4","2009-06-03 15:13:54.851","http://ww3.bgbm.org/biocase/querytool/details.cgi?dsa=pontaurus&detail=unit&schema=http://www.tdwg.org/schemas/abcd/2.06&cat=1042","1042","Onobrychis montana subsp. cadmea (Boiss.) P.W. Ball","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Markus Döring","Fabales","1042","WGS84","Onobrychis","2002-07-31 00:00:00.0","Asia","cadmea","PreservedSpecimen","Fabaceae","TR","Plantae","Nigde","2200","BGBM","Magnoliophyta","37.42000",,"montana","B","34.56800"
