ipt:coreid	DecimalLatitude	GeodeticDatum	CoordinateUncertaintyInMeters	DecimalLongitude
6500	38.10695	WGS84	1000	26.85083
6501	37.42000	WGS84	1000	34.56800
6502	37.42000	WGS84	1000	34.56800
6503	37.42000	WGS84	1000	34.56800
6504	37.42000	WGS84	1000	34.56800
6505	37.42000	WGS84	1000	34.56800
6506	37.07000	WGS84	1000	28.80000
6507	37.42000	WGS84	1000	34.56800
6508	37.42000	WGS84	1000	34.56800
6509	37.42000	WGS84	1000	34.56800
6510	37.42000	WGS84	1000	34.56800
6511	37.42000	WGS84	1000	34.56800
6512	37.42000	WGS84	1000	34.56800
6513	37.42000	WGS84	1000	34.56800
6514	37.42000	WGS84	1000	34.56800
6515	37.42000	WGS84	1000	34.56800
6516	37.42000	WGS84	1000	34.56800
6517	37.07000	WGS84	1000	28.80000
6518	37.42000	WGS84	1000	34.56800
6519	37.42000	WGS84	1000	34.56800
6520	37.42000	WGS84	1000	34.56800
6521	37.42000	WGS84	1000	34.56800
6522	37.42000	WGS84	1000	34.56800
6523	37.42000	WGS84	1000	34.56800
6524	37.42000	WGS84	1000	34.56800
6525	37.42000	WGS84	1000	34.56800
6526	37.42000	WGS84	1000	34.56800
6527	37.07000	WGS84	1000	28.80000
6528	37.42000	WGS84	1000	34.56800
6529	37.42000	WGS84	1000	34.56800
6530	37.42000	WGS84	1000	34.56800
6531	37.42000	WGS84	1000	34.56800
6532	37.42000	WGS84	1000	34.56800
6533	37.40400	WGS84	1000	34.55800
6534	37.40400	WGS84	1000	34.55800
6535	37.40400	WGS84	1000	34.55800
6536	37.40400	WGS84	1000	34.55800
6537	37.07000	WGS84	1000	28.80000
6538	37.40400	WGS84	1000	34.55800
6539	37.40400	WGS84	1000	34.55800
6540	37.40400	WGS84	1000	34.55800
6541	37.40400	WGS84	1000	34.55800
6542	37.40400	WGS84	1000	34.55800
6543	37.40400	WGS84	1000	34.55800
6544	37.40400	WGS84	1000	34.55800
6545	37.40400	WGS84	1000	34.55800
6546	37.40400	WGS84	1000	34.55800
6547	37.40400	WGS84	1000	34.55800
6548	37.07000	WGS84	1000	28.80000
6549	37.40400	WGS84	1000	34.55800
6550	37.40400	WGS84	1000	34.55800
6551	37.40400	WGS84	1000	34.55800
6552	37.40400	WGS84	1000	34.55800
6553	37.40400	WGS84	1000	34.55800
6554	37.40400	WGS84	1000	34.55800
6555	37.40400	WGS84	1000	34.55800
6556	37.40400	WGS84	1000	34.55800
6557	37.40400	WGS84	1000	34.55800
6558	37.40400	WGS84	1000	34.55800
6559	37.07000	WGS84	1000	28.80000
6560	37.40400	WGS84	1000	34.55800
6561	37.40400	WGS84	1000	34.55800
6562	37.40400	WGS84	1000	34.55800
6563	37.40400	WGS84	1000	34.55800
6564	37.40400	WGS84	1000	34.55800
6565	37.40400	WGS84	1000	34.55800
6566	37.40400	WGS84	1000	34.55800
6567	37.40400	WGS84	1000	34.55800
6568	37.40400	WGS84	1000	34.55800
6569	37.40400	WGS84	1000	34.55800
6570	37.04000	WGS84	1000	28.76500
6571	37.40400	WGS84	1000	34.55800
6572	37.40400	WGS84	1000	34.55800
6573	37.40400	WGS84	1000	34.55800
6574	37.40400	WGS84	1000	34.55800
6575	37.40400	WGS84	1000	34.55800
6576	37.40400	WGS84	1000	34.55800
6577	37.40400	WGS84	1000	34.55800
6578	37.40400	WGS84	1000	34.55800
6579	37.40400	WGS84	1000	34.55800
6580	37.40400	WGS84	1000	34.55800
6581	37.07000	WGS84	1000	28.80000
6582	37.07000	WGS84	1000	28.80000
6583	37.07000	WGS84	1000	28.80000
6584	37.40400	WGS84	1000	34.55800
6585	37.40400	WGS84	1000	34.55800
6586	37.40400	WGS84	1000	34.55800
6587	37.40400	WGS84	1000	34.55800
6588	37.40400	WGS84	1000	34.55800
6589	37.40400	WGS84	1000	34.55800
6590	37.40400	WGS84	1000	34.55800
6591	37.40400	WGS84	1000	34.55800
6592	37.40400	WGS84	1000	34.55800
6593	37.40400	WGS84	1000	34.55800
6594	37.07000	WGS84	1000	28.80000
6595	37.40400	WGS84	1000	34.55800
6596	37.40400	WGS84	1000	34.55800
6597	37.40400	WGS84	1000	34.55800
6598	37.40400	WGS84	1000	34.55800
6599	37.40400	WGS84	1000	34.55800
6600	37.40400	WGS84	1000	34.55800
6601	37.40400	WGS84	1000	34.55800
6602	37.40400	WGS84	1000	34.55800
6603	37.40400	WGS84	1000	34.55800
6604	37.42000	WGS84	1000	34.56800
6605	37.42000	WGS84	1000	34.56800
6606	37.07000	WGS84	1000	28.80000
6607	37.42000	WGS84	1000	34.56800
6608	37.42000	WGS84	1000	34.56800
6609	37.42000	WGS84	1000	34.56800
6610	37.42000	WGS84	1000	34.56800
6611	37.42000	WGS84	1000	34.56800
6612	37.42000	WGS84	1000	34.56800
6613	37.42000	WGS84	1000	34.56800
6614	37.42000	WGS84	1000	34.56800
6615	37.42000	WGS84	1000	34.56800
6616	37.42000	WGS84	1000	34.56800
6617	37.07000	WGS84	1000	28.80000
6618	37.42000	WGS84	1000	34.56800
6619	37.42000	WGS84	1000	34.56800
6620	37.42000	WGS84	1000	34.56800
6621	37.40400	WGS84	1000	34.55800
6622	37.40400	WGS84	1000	34.55800
6623	37.82980	WGS84	1000	35.12990
6624	37.82980	WGS84	1000	35.12990
6625	37.82980	WGS84	1000	35.12990
6626	37.82980	WGS84	1000	35.12990
6627	37.82980	WGS84	1000	35.12990
6628	37.07000	WGS84	1000	28.80000
6629	37.82980	WGS84	1000	35.12990
6630	37.82980	WGS84	1000	35.12990
6631	37.82980	WGS84	1000	35.12990
6632	37.82800	WGS84	1000	35.13600
6633	37.82800	WGS84	1000	35.13600
6634	37.82800	WGS84	1000	35.13600
6635	37.82800	WGS84	1000	35.13600
6636	37.82800	WGS84	1000	35.13600
6637	37.82800	WGS84	1000	35.13600
6638	37.82800	WGS84	1000	35.13600
6639	37.82800	WGS84	1000	35.13600
6640	37.82800	WGS84	1000	35.13600
6641	37.82800	WGS84	1000	35.13600
6642	37.82800	WGS84	1000	35.13600
6643	37.82800	WGS84	1000	35.13600
6644	37.82800	WGS84	1000	35.13600
6645	37.82800	WGS84	1000	35.13600
6646	37.82800	WGS84	1000	35.13600
6647	37.82800	WGS84	1000	35.13600
6648	37.82800	WGS84	1000	35.13600
6649	37.82800	WGS84	1000	35.13600
6650	37.82800	WGS84	1000	35.13600
6651	37.82800	WGS84	1000	35.13600
6652	37.82800	WGS84	1000	35.13600
6653	37.82800	WGS84	1000	35.13600
6654	37.82800	WGS84	1000	35.13600
6655	37.82800	WGS84	1000	35.13600
6656	37.82800	WGS84	1000	35.13600
6657	37.82800	WGS84	1000	35.13600
6658	37.82800	WGS84	1000	35.13600
6659	37.82800	WGS84	1000	35.13600
6660	37.82800	WGS84	1000	35.13600
6661	37.82800	WGS84	1000	35.13600
6662	37.82800	WGS84	1000	35.13600
6663	37.82800	WGS84	1000	35.13600
6664	37.82800	WGS84	1000	35.13600
6665	37.82800	WGS84	1000	35.13600
6666	37.82800	WGS84	1000	35.13600
6667	37.82800	WGS84	1000	35.13600
6668	37.82800	WGS84	1000	35.13600
6669	37.82800	WGS84	1000	35.13600
6670	37.82800	WGS84	1000	35.13600
6671	37.82800	WGS84	1000	35.13600
6672	37.82800	WGS84	1000	35.13600
6673	37.82800	WGS84	1000	35.13600
6674	37.82800	WGS84	1000	35.13600
6675	37.82800	WGS84	1000	35.13600
6676	37.82800	WGS84	1000	35.13600
6677	37.82800	WGS84	1000	35.13600
6678	37.82800	WGS84	1000	35.13600
6679	37.82800	WGS84	1000	35.13600
6680	37.82800	WGS84	1000	35.13600
6681	37.82800	WGS84	1000	35.13600
6682	36.56300	WGS84	1000	29.63000
6683	37.82800	WGS84	1000	35.13600
6684	37.82800	WGS84	1000	35.13600
6685	37.82800	WGS84	1000	35.13600
6686	37.82800	WGS84	1000	35.13600
6687	37.82800	WGS84	1000	35.13600
6688	37.82800	WGS84	1000	35.13600
6689	37.82800	WGS84	1000	35.13600
6690	37.82800	WGS84	1000	35.13600
