"ID","FAMILY","INSTITUTION_CODE","INFRASPECIFIC_EPITHET","REMARKS","COLLECTOR","KINGDOM","LOCALITY","GENUS","INFRASPECIFIC_RANK","BASIS_OF_RECORD","PHYLUM","MINIMUM_ELEVATION_IN_METERS","SPECIFIC_EPITHET","CLASS","SCIENTIFIC_NAME","COUNTRY","EARLIEST_DATE_COLLECTED","NOMENCLATURAL_CODE","CATALOG_NUMBER","AUTHOR_YEAR_OF_SCIENTIFIC_NAME","STATE_PROVINCE","ORDER","CONTINENT","COLLECTION_CODE"
"11488","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m","Dianthus",,"PreservedSpecimen","Magnoliophyta","2120","anatolicus",,"Dianthus anatolicus Boiss.","TR","1999-07-31 00:00:00.0","ICBN","1050","Boiss.","Nigde","Caryophyllales","Asia","B"
"11489","Globulariaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m","Globularia",,"PreservedSpecimen","Magnoliophyta","2120","trichosantha",,"Globularia trichosantha J.C.Fisch. & C.A.Mey.","TR","1999-07-31 00:00:00.0","ICBN","1051","J.C.Fisch. & C.A.Mey.","Nigde","Scrophulariales","Asia","B"
"11490","Brassicaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m","Aethionema",,"PreservedSpecimen","Magnoliophyta","2120","iberideum",,"Aethionema iberideum (Boiss.) Boiss.","TR","1999-07-31 00:00:00.0","ICBN","1052","(Boiss.) Boiss.","Nigde","Capparales","Asia","B"
"11491","Lamiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Salvia",,"PreservedSpecimen","Magnoliophyta","2350","virgata",,"Salvia virgata Jacq.","TR","1999-07-30 00:00:00.0","ICBN","1054","Jacq.","Nigde","Lamiales","Asia","B"
"11492","Brassicaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Aethionema",,"PreservedSpecimen","Magnoliophyta","2350","capitatum",,"Aethionema capitatum Boiss. & Balansa","TR","1999-07-30 00:00:00.0","ICBN","1055","Boiss. & Balansa","Nigde","Capparales","Asia","B"
"11493","Brassicaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Erysimum",,"PreservedSpecimen","Magnoliophyta","2350","pycnophyllum",,"Erysimum pycnophyllum Gay","TR","1999-07-30 00:00:00.0","ICBN","1056","Gay","Nigde","Capparales","Asia","B"
"11494","Rosaceae","BGBM","muricata",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Sanguisorba","Subspecies","PreservedSpecimen","Magnoliophyta","2350","minor",,"Sanguisorba minor subsp. muricata (Spach) Briq.","TR","1999-07-30 00:00:00.0","ICBN","1057","(Spach) Briq.","Nigde","Rosales","Asia","B"
"11495","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Centaurea",,"PreservedSpecimen","Magnoliophyta","2350","virgata ?A?",,"Centaurea virgata ?A? Lam.","TR","1999-07-30 00:00:00.0","ICBN","1058","Lam.","Nigde","Asterales","Asia","B"
"11496","Santalaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Thesium",,"PreservedSpecimen","Magnoliophyta","2350","billardieri",,"Thesium billardieri Boiss.","TR","1999-07-30 00:00:00.0","ICBN","1059","Boiss.","Nigde","Santalales","Asia","B"
"11497","Poaceae","BGBM",,,"Markus Döring","Plantae","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit,","Poa",,"PreservedSpecimen","Magnoliophyta","2180","bulbosa agg.",,"Poa bulbosa agg. L.","TR","1999-06-21 00:00:00.0","ICBN","106","L.","Mugla","Cyperales","Asia","B"
"11499","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Silene",,"PreservedSpecimen","Magnoliophyta","2350","pruinosa",,"Silene pruinosa Boiss.","TR","1999-07-30 00:00:00.0","ICBN","1061","Boiss.","Nigde","Caryophyllales","Asia","B"
"11517","Rubiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Galium",,"PreservedSpecimen","Magnoliophyta","2650","cilicicum",,"Galium cilicicum Boiss.","TR","1999-08-01 00:00:00.0","ICBN","1079","Boiss.","Nigde","Rubiales","Asia","B"
"11518","Liliaceae","BGBM",,,"Markus Döring","Plantae","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit,","Gagea",,"PreservedSpecimen","Magnoliophyta","2180","uliginosa",,"Gagea uliginosa Siehe & Pascher","TR","1999-06-21 00:00:00.0","ICBN","108","Siehe & Pascher","Mugla","Liliales","Asia","B"
"11519","Fabaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Astragalus",,"PreservedSpecimen","Magnoliophyta","2650","depressus",,"Astragalus depressus L.","TR","1999-08-01 00:00:00.0","ICBN","1080","L.","Nigde","Fabales","Asia","B"
"11520","Brassicaceae","BGBM","strigosum",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Alyssum","Subspecies","PreservedSpecimen","Magnoliophyta","2650","strigosum",,"Alyssum strigosum subsp. strigosum","TR","1999-08-01 00:00:00.0","ICBN","1081",,"Nigde","Capparales","Asia","B"
"11521","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Taraxacum",,"PreservedSpecimen","Magnoliophyta","2650","assemanii",,"Taraxacum assemanii Blanche","TR","1999-08-01 00:00:00.0","ICBN","1082","Blanche","Nigde","Asterales","Asia","B"
"11522","Boraginaceae","BGBM","alpestris",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Myosotis","Subspecies","PreservedSpecimen","Magnoliophyta","2650","alpestris",,"Myosotis alpestris subsp. alpestris","TR","1999-08-01 00:00:00.0","ICBN","1083",,"Nigde","Lamiales","Asia","B"
