"ID","COLUMN_LENGTH","LINK","NAME","NAMESPACE","REQUIRED","EXTENSION_FK","PROPERTY_ORDER","VOCABULARY_FK","GROUPP"
"101","64",,"Language","http://rs.tdwg.org/dwc/terms/","FALSE","1","121","17","DublinCore"
"157","128",,"IslandGroup","http://rs.tdwg.org/dwc/terms/","FALSE","1","54",,"SamplingLocation"
"152","128",,"SamplingLocationID","http://rs.tdwg.org/dwc/terms/","FALSE","1","49",,"SamplingLocation"
"153","128",,"HigherGeographyID","http://rs.tdwg.org/dwc/terms/","FALSE","1","50",,"SamplingLocation"
"105","128",,"InstitutionCode","http://rs.tdwg.org/dwc/terms/","FALSE","1","2",,"Sample"
"106","128",,"CollectionCode","http://rs.tdwg.org/dwc/terms/","FALSE","1","3",,"Sample"
"107","128",,"CollectionID","http://rs.tdwg.org/dwc/terms/","FALSE","1","4",,"Sample"
"108","64",,"BasisOfRecord","http://rs.tdwg.org/dwc/terms/","FALSE","1","5","14","Sample"
"109","-1",,"AccessConstraints","http://rs.tdwg.org/dwc/terms/","FALSE","1","6",,"Sample"
"110","-1",,"InformationWithheld","http://rs.tdwg.org/dwc/terms/","FALSE","1","7",,"Sample"
"111","255",,"Generalizations","http://rs.tdwg.org/dwc/terms/","FALSE","1","8",,"Sample"
"112","255",,"SampleDetails","http://rs.tdwg.org/dwc/terms/","FALSE","1","9",,"Sample"
"113","-1",,"SampleRemarks","http://rs.tdwg.org/dwc/terms/","FALSE","1","10",,"Sample"
"114","64",,"CatalogNumber","http://rs.tdwg.org/dwc/terms/","FALSE","1","11",,"Sample"
"115","64",,"CatalogNumberNumeric","http://rs.tdwg.org/dwc/terms/","FALSE","1","12",,"Sample"
"116","64",,"IndividualID","http://rs.tdwg.org/dwc/terms/","FALSE","1","13",,"Sample"
"117","64",,"IndividualCount","http://rs.tdwg.org/dwc/terms/","FALSE","1","14",,"Sample"
"118","255",,"Citation","http://rs.tdwg.org/dwc/terms/","FALSE","1","15",,"Sample"
"119","128",,"Sex","http://rs.tdwg.org/dwc/terms/","FALSE","1","16",,"Sample"
"120","128",,"LifeStage","http://rs.tdwg.org/dwc/terms/","FALSE","1","17",,"Sample"
"121","255",,"ReproductiveCondition","http://rs.tdwg.org/dwc/terms/","FALSE","1","18",,"Sample"
"122","255",,"EstablishmentMeans","http://rs.tdwg.org/dwc/terms/","FALSE","1","19",,"Sample"
"123","-1",,"SampleAttributes","http://rs.tdwg.org/dwc/terms/","FALSE","1","20",,"Sample"
"124","255",,"Preparations","http://rs.tdwg.org/dwc/terms/","FALSE","1","21",,"Sample"
"125","128",,"Disposition","http://rs.tdwg.org/dwc/terms/","FALSE","1","22",,"Sample"
"126","255",,"OtherCatalogNumbers","http://rs.tdwg.org/dwc/terms/","FALSE","1","23",,"Sample"
"127","-1",,"AssociatedMedia","http://rs.tdwg.org/dwc/terms/","FALSE","1","24",,"Sample"
"128","-1",,"AssociatedReferences","http://rs.tdwg.org/dwc/terms/","FALSE","1","25",,"Sample"
"129","-1",,"AssociatedSamples","http://rs.tdwg.org/dwc/terms/","FALSE","1","26",,"Sample"
"130","-1",,"AssociatedSequences","http://rs.tdwg.org/dwc/terms/","FALSE","1","27",,"Sample"
"131","-1",,"AssociatedTaxa","http://rs.tdwg.org/dwc/terms/","FALSE","1","28",,"Sample"
"138","16",,"EndDayOfYear","http://rs.tdwg.org/dwc/terms/","FALSE","1","35",,"Event"
"439","255",,"vernacularName","http://rs.gbif.org/ecat/terms/","TRUE","15","0",,
"440","255",,"language","http://purl.org/dc/terms/","FALSE","15","1",,
"441","3",,"languageCode","http://rs.gbif.org/thesaurus","FALSE","15","2",,
