"ID","NOMENCLATURAL_CODE","LABEL","RANK","LOCAL_ID","GUID","LINK","NOTES","TAXONOMIC_STATUS","NOMENCLATURAL_STATUS","NOMENCLATURAL_REFERENCE","ACCEPTED_TAXON_ID","ACCEPTEDTAXON","TAXONOMIC_PARENT_ID","PARENTTAXON"
"28407",,"Compositae Giseke","family","1","9b163a56-4e10-41d9-8ee7-358ef141d630","http://localhost:8080/ipt/7/9b163a56-4e10-41d9-8ee7-358ef141d630/detail.html",,"Accepted",,,"1",,"0",
"28408",,"Calendulaceae Cass","tribe","2","c2d082a8-1d84-4711-8576-56ecf486728b","http://localhost:8080/ipt/7/c2d082a8-1d84-4711-8576-56ecf486728b/detail.html",,"Accepted",,,"2",,"1","Compositae Giseke"
"28409",,"Tripterus Less.","genus","3","c9129546-3e90-4970-a0d2-c768bde489fc","http://localhost:8080/ipt/7/c9129546-3e90-4970-a0d2-c768bde489fc/detail.html",,"Accepted",,,"3",,"2","Calendulaceae Cass"
"28410",,"Tripterus vaillantii Decne.","species","4","3498fb22-146a-44f2-af71-b6d1c8b2dd7a","http://localhost:8080/ipt/7/3498fb22-146a-44f2-af71-b6d1c8b2dd7a/detail.html",,"Accepted",,"""in Ann. Sci. Nat., Bot., ser. 2, 2: 260. 1834""","4",,"3","Tripterus Less."
"28411",,"Osteospermum vaillantii (Decne.) Norl.","species","5","e25f4b6d-3363-4e5a-8142-38cb1692599d","http://localhost:8080/ipt/7/e25f4b6d-3363-4e5a-8142-38cb1692599d/detail.html",,"Homotypic Synonym",,"Stud. Calend.: 305. 1943","4","Tripterus vaillantii Decne.","NULL",
"28412",,"Calendula L.","genus","6","475c7478-1e32-47dd-a9ea-e67efb8ecf7f","http://localhost:8080/ipt/7/475c7478-1e32-47dd-a9ea-e67efb8ecf7f/detail.html",,"Accepted",,"Sp. Pl.: 921. 1753","6",,"2","Calendulaceae Cass"
"28413",,"Calendula arvensis (Vaill.) L.","species","7","d496343d-3b66-4fe5-b62a-0f79ed5a8973","http://localhost:8080/ipt/7/d496343d-3b66-4fe5-b62a-0f79ed5a8973/detail.html",,"Accepted",,"""Sp. Pl., ed. 2: 1303. 1763""","7",,"6","Calendula L."
"28414",,"Caltha arvensis Vaill.","species","8","e8b21e43-9cd4-4e5a-bcc5-904f4a5b74e8","http://localhost:8080/ipt/7/e8b21e43-9cd4-4e5a-bcc5-904f4a5b74e8/detail.html",,"Homotypic Synonym",,"in K�nigl. Akad. Wiss. Paris Phys. Abh. 5: 558. 1754","7","Calendula arvensis (Vaill.) L.","NULL",
"28415",,"Calendula officinalis subsp. arvensis (Vaill.) Fiori","subspecies","9","baa70c05-2f5c-4198-b7b1-9e62a2e0020f","http://localhost:8080/ipt/7/baa70c05-2f5c-4198-b7b1-9e62a2e0020f/detail.html",,"Heterotypic Synonym",,"""in Fiori & Paoletti, Fl. Italia 3: 297. 1904""","7","Calendula arvensis (Vaill.) L.","NULL",
"28416",,"Calendula aegyptiaca Pers.","species","10","ad013dd9-cc11-45bb-85c1-94aefb044a19","http://localhost:8080/ipt/7/ad013dd9-cc11-45bb-85c1-94aefb044a19/detail.html",,"Heterotypic Synonym",,"Syn. Pl. 2: 492. 1807","7","Calendula arvensis (Vaill.) L.","NULL",
"28417",,"Calendula alata Rech. f.","species","11","2a5f0fea-f060-4c6e-a037-e6940c0acc9c","http://localhost:8080/ipt/7/2a5f0fea-f060-4c6e-a037-e6940c0acc9c/detail.html",,"Heterotypic Synonym",,"Fl. Iran. 164: 104. 1989","7","Calendula arvensis (Vaill.) L.","NULL",
"28418",,"Calendula bicolor Raf.","species","12","a438ac54-db41-4380-9415-d7e000c85093","http://localhost:8080/ipt/7/a438ac54-db41-4380-9415-d7e000c85093/detail.html",,"Heterotypic Synonym",,"Caratt. Nuov. Gen.: 82. 1810","7","Calendula arvensis (Vaill.) L.","NULL",
"28419",,"Calendula ceratosperma Viv.","species","13","34d95e79-2695-491e-be87-ec4240665643","http://localhost:8080/ipt/7/34d95e79-2695-491e-be87-ec4240665643/detail.html",,"Heterotypic Synonym",,"Fl. Libyc. Spec.: 59. 1824","7","Calendula arvensis (Vaill.) L.","NULL",
"28420",,"Calendula crista-galli Viv.","species","14","bf540cb0-57af-4a0a-a6c4-c8d10c22f0fc","http://localhost:8080/ipt/7/bf540cb0-57af-4a0a-a6c4-c8d10c22f0fc/detail.html",,"Heterotypic Synonym",,"Fl. Libyc. Spec.: 59. 1824","7","Calendula arvensis (Vaill.) L.","NULL",
"28421",,"Calendula echinata DC.","species","15","27be5083-7a55-4c2b-9e77-fe0b603db3d7","http://localhost:8080/ipt/7/27be5083-7a55-4c2b-9e77-fe0b603db3d7/detail.html",,"Heterotypic Synonym",,"Prodr. 6: 453. 1838","7","Calendula arvensis (Vaill.) L.","NULL",
"28422",,"Calendula gracilis DC.","species","16","655536d2-59a3-410d-a82a-1b17d19cbe65","http://localhost:8080/ipt/7/655536d2-59a3-410d-a82a-1b17d19cbe65/detail.html",,"Heterotypic Synonym",,"Prodr. 6: 453. 1838","7","Calendula arvensis (Vaill.) L.","NULL",
"28423",,"Calendula macroptera (Rouy) H. J. Coste","species","17","8521e804-c02b-43b2-8528-294da3bca542","http://localhost:8080/ipt/7/8521e804-c02b-43b2-8528-294da3bca542/detail.html",,"Heterotypic Synonym",,"Fl. Descr. France 3: 721. 1906","7","Calendula arvensis (Vaill.) L.","NULL",
"28424",,"Calendula malacitana Boiss. & Reut.","species","18","48a333ae-4069-4da9-a3ec-8c19f20eab01","http://localhost:8080/ipt/7/48a333ae-4069-4da9-a3ec-8c19f20eab01/detail.html",,"Heterotypic Synonym",,"Pugill. Pl. Afr. Bor. Hispan.: 61. 1852","7","Calendula arvensis (Vaill.) L.","NULL",
"28425",,"Calendula micrantha Tineo & Guss.","species","19","d040abdb-f2b4-4bdc-8fc3-196dbb19cdc3","http://localhost:8080/ipt/7/d040abdb-f2b4-4bdc-8fc3-196dbb19cdc3/detail.html",,"Heterotypic Synonym",,"""n Gussone, Fl. Sicul. Syn. 2: 874. 1845""","7","Calendula arvensis (Vaill.) L.","NULL",
"28426",,"Calendula parviflora Raf. [non Thunb. 1800]","species","20","3731ef01-b092-4624-9274-ce864afa9efa","http://localhost:8080/ipt/7/3731ef01-b092-4624-9274-ce864afa9efa/detail.html",,"Heterotypic Synonym",,"Caratt. Nuov. Gen.: 83. 1810","7","Calendula arvensis (Vaill.) L.","NULL",
"28427",,"Calendula persica C. A. Mey.","species","21","f78c1fd6-77ff-411e-b9fb-76fd60825fa1","http://localhost:8080/ipt/7/f78c1fd6-77ff-411e-b9fb-76fd60825fa1/detail.html",,"Heterotypic Synonym",,"Verz. Pfl. Casp. Meer.: 72. 1831","7","Calendula arvensis (Vaill.) L.","NULL",
"28428",,"Calendula sancta L.","species","22","eb5f59ae-afb5-4b3b-a708-009ccf45ebcc","http://localhost:8080/ipt/7/eb5f59ae-afb5-4b3b-a708-009ccf45ebcc/detail.html",,"Heterotypic Synonym",,"""Sp. Pl., ed. 2: 1304. 1763""","7","Calendula arvensis (Vaill.) L.","NULL",
"28429",,"Calendula sinuata Boiss. & Gaill.","species","23","5058ef45-d6e6-49cb-9a69-a1dccd1cd5b4","http://localhost:8080/ipt/7/5058ef45-d6e6-49cb-9a69-a1dccd1cd5b4/detail.html",,"Heterotypic Synonym",,"""in Boissier, Diagn. Pl. Orient., ser. 2, 6: 109. 1859""","7","Calendula arvensis (Vaill.) L.","NULL",
"28430",,"Calendula sublanata Rchb. f.","species","24","d9e0a2ba-738d-4dd7-8fbc-e6f9a3e31d11","http://localhost:8080/ipt/7/d9e0a2ba-738d-4dd7-8fbc-e6f9a3e31d11/detail.html",,"Heterotypic Synonym",,"""in Reichenbach, Icon. Fl. Germ. Helv. 15: 99. 1853""","7","Calendula arvensis (Vaill.) L.","NULL",
"28431",,"Calendula arvensis subsp. aegyptiaca (Pers.) Hayek","subspecies","25","0290f4d4-1bb1-4926-99f5-2128a3a4827f","http://localhost:8080/ipt/7/0290f4d4-1bb1-4926-99f5-2128a3a4827f/detail.html",,"Heterotypic Synonym",,"in Repert. Spec. Nov. Regni Veg. Beih. 30(2): 685. 1931","7","Calendula arvensis (Vaill.) L.","NULL",
"28432",,"Calendula arvensis subsp. bicolor (Raf.) Nyman","subspecies","26","dc73b940-3af1-40ec-afb1-a50c6a0202b2","http://localhost:8080/ipt/7/dc73b940-3af1-40ec-afb1-a50c6a0202b2/detail.html",,"Heterotypic Synonym",,"Consp. Fl. Eur.: 398. 1879","7","Calendula arvensis (Vaill.) L.","NULL",
"28433",,"Calendula arvensis subsp. hydruntina (Fiori) Lanza","subspecies","27","2f5a3a6b-942d-4e90-8c1e-394907fb46fe","http://localhost:8080/ipt/7/2f5a3a6b-942d-4e90-8c1e-394907fb46fe/detail.html",,"Heterotypic Synonym",,"in Atti Reale Accad. Sci. Lett. Belle Arti Palermo 11: 113. 1919","7","Calendula arvensis (Vaill.) L.","NULL",
"28434",,"Calendula arvensis subsp. macroptera Rouy","subspecies","28","4cf0fa53-5a24-4f43-a368-a1bba8c0f078","http://localhost:8080/ipt/7/4cf0fa53-5a24-4f43-a368-a1bba8c0f078/detail.html",,"Heterotypic Synonym",,"Fl. France 8: 355. 1903","7","Calendula arvensis (Vaill.) L.","NULL",
