Data provider	Dataset	Collector name	Field number	GUID	Date collected	Institution code	Collection code	Catalogue No	Basis of record	Image url	Last indexed	Identifier	Identification date	Scientific name	Author	Scientific name (interpreted)	Kingdom	Phylum	Class	Order	Family	Genus	Country	Country (interpreted)	Locality	County	Continent or Ocean	State/Province	Region	Provider country	Latitude	Longitude	Coordinate precision	Cell id	Centi cell id	Min depth	Max depth	Max depth	Min altitude	Max altitude	Altitude precision	GBIF portal url	GBIF webservice url
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Jane Fröhlich			6.4.94 0:00	HKU	HKU(M)	3500-1	Specimen		28.3.07 12:26			Chaetospermum camelliae Agnihothrudu		Chaetospermum camelliae							Australia	AU	AUSTRALIA, Queensland, Dunk Island	Dunk Island			Australia and New Zealand	Hong Kong	-17.9	146.5		26246	15							http://data.gbif.org/occurrences/56492286	http://data.gbif.org/ws/rest/occurrence/get?key=56492286
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Jane Fröhlich			6.4.94 0:00	HKU	HKU(M)	3503-1	Specimen		28.3.07 12:26			Arthrobotrys dendroides Kuthub., Muid & J. Webster		Arthrobotrys dendroides							Australia	AU	AUSTRALIA, Queensland, Dunk Island	Dunk Island			Australia and New Zealand	Hong Kong	-17.9	146.5		26246	15							http://data.gbif.org/occurrences/56492288	http://data.gbif.org/ws/rest/occurrence/get?key=56492288
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Jane Fröhlich			6.4.94 0:00	HKU	HKU(M)	3508-1	Specimen		28.3.07 12:26			Linocarpon livistonae (Henn). K.D. Hyde		Linocarpon livistonae							Australia	AU	AUSTRALIA, Queensland, Dunk Island	Dunk Island			Australia and New Zealand	Hong Kong	-17.9	146.5		26246	15							http://data.gbif.org/occurrences/56492290	http://data.gbif.org/ws/rest/occurrence/get?key=56492290
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Jane Fröhlich			6.4.94 0:00	HKU	HKU(M)	3510-1	Specimen		28.3.07 12:26			Dischloridium laeense (Matsush.) Sutton		Dischloridium laeense							Australia	AU	AUSTRALIA, Queensland, Dunk Island	Dunk Island			Australia and New Zealand	Hong Kong	-17.9	146.5		26246	15							http://data.gbif.org/occurrences/56492293	http://data.gbif.org/ws/rest/occurrence/get?key=56492293
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Jane Fröhlich			6.4.94 0:00	HKU	HKU(M)	3512	Specimen		28.3.07 12:26			Linocarpon livistonae (Henn). K.D. Hyde		Linocarpon livistonae							Australia	AU	AUSTRALIA, Queensland, Dunk Island	Dunk Island			Australia and New Zealand	Hong Kong	-17.9	146.5		26246	15							http://data.gbif.org/occurrences/56492295	http://data.gbif.org/ws/rest/occurrence/get?key=56492295
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor; Kevin D. Hyde			27.6.94 0:00	HKU	HKU(M)	3518-1	Specimen		28.3.07 12:26			Bionectria byssicola (Berk. & Broome) Schroers & Samuels		Bionectria byssicola							Hong Kong	HK	HONG KONG, Hong Kong Island, Peak Road				Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492296	http://data.gbif.org/ws/rest/occurrence/get?key=56492296
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor; Kevin D. Hyde			27.6.94 0:00	HKU	HKU(M)	3518-2	Specimen		28.3.07 12:26			Diaporthe c.f. medusaea Nitschke		Diaporthe							Hong Kong	HK	HONG KONG, Hong Kong Island, Peak Road				Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492299	http://data.gbif.org/ws/rest/occurrence/get?key=56492299
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor; Kevin D. Hyde			27.6.94 0:00	HKU	HKU(M)	3518-3	Specimen		28.3.07 12:26			Gracilistilbella clavulata (Mont.) Seifert		Gracilistilbella clavulata							Hong Kong	HK	HONG KONG, Hong Kong Island, Peak Road				Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492300	http://data.gbif.org/ws/rest/occurrence/get?key=56492300
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor; Kevin D. Hyde			27.6.94 0:00	HKU	HKU(M)	3522-1	Specimen		28.3.07 12:26			Capsulospora brunneispora K.D. Hyde		Capsulospora brunneispora							Hong Kong	HK	HONG KONG, Hong Kong Island, Peak Road				Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492302	http://data.gbif.org/ws/rest/occurrence/get?key=56492302
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor; Kevin D. Hyde			27.6.95 0:00	HKU	HKU(M)	3525-1	Specimen		28.3.07 12:26			Helminthosporium c.f. solani Durieu & Mont.		Helminthosporium							Hong Kong	HK	HONG KONG, Hong Kong Island, Peak Road				Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492304	http://data.gbif.org/ws/rest/occurrence/get?key=56492304
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			27.6.94 0:00	HKU	HKU(M)	3526-1	Specimen		28.3.07 12:26			Dictyochaeta anamorph of Chaetosphaeria callimorpha S. Hughes & W.B. Kendr.		Dictyochaeta anamorph							Hong Kong	HK	HONG KONG, Hong Kong Island, Peak Road				Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492306	http://data.gbif.org/ws/rest/occurrence/get?key=56492306
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor; Kevin D. Hyde			27.6.94 0:00	HKU	HKU(M)	3528	Specimen		28.3.07 12:26			Lasiodiplodia theobromae (Pat.) Griff. & Maubl.		Lasiodiplodia theobromae							Hong Kong	HK	HONG KONG, Hong Kong Island, Peak Road				Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492308	http://data.gbif.org/ws/rest/occurrence/get?key=56492308
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor; Kevin D. Hyde			27.6.94 0:00	HKU	HKU(M)	3533-1	Specimen		28.3.07 12:26			Bionectria byssicola (Berk. & Broome) Schroers & Samuels		Bionectria byssicola							Hong Kong	HK	HONG KONG, Hong Kong Island, Peak Road				Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492310	http://data.gbif.org/ws/rest/occurrence/get?key=56492310
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor; Ian C. Taylor			9.7.94 0:00	HKU	HKU(M)	3539-1	Specimen		28.3.07 12:26			Bionectria ochroleuca (Schwein.) Schroers & Samuels		Bionectria ochroleuca							Hong Kong	HK	HONG KONG, Lamma Island				Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492312	http://data.gbif.org/ws/rest/occurrence/get?key=56492312
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor; Ian C. Taylor			9.7.94 0:00	HKU	HKU(M)	3539-2	Specimen		28.3.07 12:26			Botryosphaeria archontophoenicis Joa.E. Taylor, K.D. Hyde & E.B.G. Jones		Botryosphaeria archontophoenicis							Hong Kong	HK	HONG KONG, Lamma Island				Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492314	http://data.gbif.org/ws/rest/occurrence/get?key=56492314
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor; Ian C. Taylor			9.7.94 0:00	HKU	HKU(M)	3539-3	Specimen		28.3.07 12:26			Lasiodiplodia theobromae (Pat.) Griff. & Maubl.		Lasiodiplodia theobromae							Hong Kong	HK	HONG KONG, Lamma Island				Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492316	http://data.gbif.org/ws/rest/occurrence/get?key=56492316
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3540-1	Specimen		28.3.07 12:26			Coleodictyospora micronesica (Matsush.) Matsush.		Coleodictyospora micronesica							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492317	http://data.gbif.org/ws/rest/occurrence/get?key=56492317
