ipt:coreid	ipt:guid	ipt:link	ipt:modified	Family	InstitutionCode	InfraspecificEpithet	Remarks	Collector	Kingdom	Locality	Genus	InfraspecificRank	BasisOfRecord	Phylum	MinimumElevationInMeters	SpecificEpithet	Class	ScientificName	Country	EarliestDateCollected	NomenclaturalCode	CatalogNumber	AuthorYearOfScientificName	StateProvince	Order	Continent	CollectionCode
6500	6d975510-889e-4c92-8137-25e905fa675e	http://localhost:8080/data/1/6d975510-889e-4c92-8137-25e905fa675e/detail.html	Thu Sep 25 01:07:02 CEST 2008	Lamiaceae	BGBM			Markus Döring	Plantae	Doganbey - Seferihisar. Near sea , 0m. N 38°06´25´´ O 26°51´03´´	Ballota		PreservedSpecimen	Magnoliophyta	0	acetabulosa		Ballota acetabulosa (L.) Benth.	TR	1999-06-18 00:00:00.0	ICBN	1	(L.) Benth.	Ïzmir	Lamiales	Asia	B
6501	fd255a66-922c-46f4-a69f-6900b16d0543	http://localhost:8080/data/1/fd255a66-922c-46f4-a69f-6900b16d0543/detail.html	Thu Sep 25 01:07:02 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Achillea		PreservedSpecimen	Magnoliophyta	2350	falcata		Achillea falcata L.	TR	1999-07-30 00:00:00.0	ICBN	1035	L.	Nigde	Asterales	Asia	B
6502	e4e4ca1c-ca56-4bbc-bebc-2958cd4d7a9b	http://localhost:8080/data/1/e4e4ca1c-ca56-4bbc-bebc-2958cd4d7a9b/detail.html	Thu Sep 25 01:07:02 CEST 2008	Asteraceae	BGBM	carduiformis		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Centaurea	Variety	PreservedSpecimen	Magnoliophyta	2350	carduiformis		Centaurea carduiformis var. carduiformis	TR	1999-07-30 00:00:00.0	ICBN	1036		Nigde	Asterales	Asia	B
6503	232b3ddc-74a5-4aa1-9538-f51301151f04	http://localhost:8080/data/1/232b3ddc-74a5-4aa1-9538-f51301151f04/detail.html	Thu Sep 25 01:07:02 CEST 2008	Rosaceae	BGBM	muricata		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Sanguisorba	Subspecies	PreservedSpecimen	Magnoliophyta	2350	minor		Sanguisorba minor subsp. muricata (Spach) Briq.	TR	1999-07-30 00:00:00.0	ICBN	1037	(Spach) Briq.	Nigde	Rosales	Asia	B
6504	192bd097-e708-43cc-93c1-28dbbc4cb4b6	http://localhost:8080/data/1/192bd097-e708-43cc-93c1-28dbbc4cb4b6/detail.html	Thu Sep 25 01:07:02 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Xeranthemum		PreservedSpecimen	Magnoliophyta	2350	annuum		Xeranthemum annuum L.	TR	1999-07-30 00:00:00.0	ICBN	1038	L.	Nigde	Asterales	Asia	B
6505	c3c9bb91-15d4-4d69-8fb1-14f9d3a3daf8	http://localhost:8080/data/1/c3c9bb91-15d4-4d69-8fb1-14f9d3a3daf8/detail.html	Thu Sep 25 01:07:02 CEST 2008	Fabaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Astragalus		PreservedSpecimen	Magnoliophyta	2350	haussknechtii		Astragalus haussknechtii Bunge	TR	1999-07-30 00:00:00.0	ICBN	1039	Bunge	Nigde	Fabales	Asia	B
6506	4168a920-0eac-4a30-9452-ca891709248c	http://localhost:8080/data/1/4168a920-0eac-4a30-9452-ca891709248c/detail.html	Thu Sep 25 01:07:02 CEST 2008	Papaveraceae	BGBM			Markus Döring	Plantae	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Corydalis		PreservedSpecimen	Magnoliophyta	2180	erdelii		Corydalis erdelii Zucc.	TR	1999-06-21 00:00:00.0	ICBN	104	Zucc.	Mugla	Papaverales	Asia	B
6507	74ee3b10-5485-4de0-ba90-05af4d9d0a4e	http://localhost:8080/data/1/74ee3b10-5485-4de0-ba90-05af4d9d0a4e/detail.html	Thu Sep 25 01:07:02 CEST 2008	Poaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Festuca		PreservedSpecimen	Magnoliophyta	2350	valesiaca		Festuca valesiaca Schleicher ex Gaudin	TR	1999-07-30 00:00:00.0	ICBN	1040	Schleicher ex Gaudin	Nigde	Cyperales	Asia	B
6508	7e5d7072-18fa-408f-8ae9-30c13da8edd2	http://localhost:8080/data/1/7e5d7072-18fa-408f-8ae9-30c13da8edd2/detail.html	Thu Sep 25 01:07:02 CEST 2008	Poaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Koeleria		PreservedSpecimen	Magnoliophyta	2350	macrantha		Koeleria macrantha (Ledeb.) Schult.	TR	1999-07-30 00:00:00.0	ICBN	1041	(Ledeb.) Schult.	Nigde	Cyperales	Asia	B
6509	a58943f3-922c-4681-b590-9bd2b513a3a4	http://localhost:8080/data/1/a58943f3-922c-4681-b590-9bd2b513a3a4/detail.html	Thu Sep 25 01:07:02 CEST 2008	Fabaceae	BGBM	cadmea		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Onobrychis	Subspecies	PreservedSpecimen	Magnoliophyta	2200	montana		Onobrychis montana subsp. cadmea (Boiss.) P.W. Ball	TR	1999-07-31 00:00:00.0	ICBN	1042	(Boiss.) P.W. Ball	Nigde	Fabales	Asia	B
6510	0440a4c6-a4bc-4aaf-a257-3a658f20f06e	http://localhost:8080/data/1/0440a4c6-a4bc-4aaf-a257-3a658f20f06e/detail.html	Thu Sep 25 01:07:02 CEST 2008	Caryophyllaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Gypsophila		PreservedSpecimen	Magnoliophyta	2200	curvifolia		Gypsophila curvifolia Fenzl	TR	1999-07-31 00:00:00.0	ICBN	1043	Fenzl	Nigde	Caryophyllales	Asia	B
6511	3024c683-61ee-449b-acef-f1092a7c10d1	http://localhost:8080/data/1/3024c683-61ee-449b-acef-f1092a7c10d1/detail.html	Thu Sep 25 01:07:02 CEST 2008	Plantaginaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Plantago		PreservedSpecimen	Magnoliophyta	2200	media		Plantago media L.	TR	1999-07-31 00:00:00.0	ICBN	1044	L.	Nigde	Plantaginales	Asia	B
6512	8fafd922-37ad-4fd7-ad97-b1e1459d7286	http://localhost:8080/data/1/8fafd922-37ad-4fd7-ad97-b1e1459d7286/detail.html	Thu Sep 25 01:07:02 CEST 2008	Caryophyllaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Minuartia		PreservedSpecimen	Magnoliophyta	2200	juniperina		Minuartia juniperina (L.) Maire & Petitm.	TR	1999-07-31 00:00:00.0	ICBN	1045	(L.) Maire & Petitm.	Nigde	Caryophyllales	Asia	B
6513	fa88557d-8838-47c9-b67e-10d7958d9c22	http://localhost:8080/data/1/fa88557d-8838-47c9-b67e-10d7958d9c22/detail.html	Thu Sep 25 01:07:02 CEST 2008	Apiaceae	BGBM	lithophila		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Pimpinella	Subspecies	PreservedSpecimen	Magnoliophyta	2200	tragium		Pimpinella tragium subsp. lithophila (I. Schischk.) Tutin	TR	1999-07-31 00:00:00.0	ICBN	1046	(I. Schischk.) Tutin	Nigde	Apiales	Asia	B
6514	47683eeb-8433-4f96-9bc1-b27cb384fb1c	http://localhost:8080/data/1/47683eeb-8433-4f96-9bc1-b27cb384fb1c/detail.html	Thu Sep 25 01:07:02 CEST 2008	Campanulaceae	BGBM	rigidum		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Asyneuma	Subspecies	PreservedSpecimen	Magnoliophyta	2200	rigidum		Asyneuma rigidum subsp. rigidum	TR	1999-07-31 00:00:00.0	ICBN	1047		Nigde	Campanulales	Asia	B
