alt1,alt2,code,title
aar,aar,aa,Afar
abk,abk,ab,Abkhazian
ave,ave,ae,Avestan
afr,afr,af,Afrikaans
aka,aka,ak,Akan
amh,amh,am,Amharic
arg,arg,an,Aragonese
ara,ara,ar,Arabic
asm,asm,as,Assamese
ava,ava,av,Avaric
aym,aym,ay,Aymara
aze,aze,az,Azerbaijani
bak,bak,ba,Bashkir
bel,bel,be,Belarusian
bul,bul,bg,Bulgarian
bis,bis,bi,Bislama
bam,bam,bm,Bambara
ben,ben,bn,Bengali
bod,tib,bo,Tibetan
bre,bre,br,Breton
bos,bos,bs,Bosnian
cat,cat,ca,Catalan
che,che,ce,Chechen
cha,cha,ch,Chamorro
cos,cos,co,Corsican
cre,cre,cr,Cree
ces,cze,cs,Czech
chu,chu,cu,Church Slavic
chv,chv,cv,Chuvash
cym,wel,cy,Welsh
dan,dan,da,Danish
deu,ger,de,German
div,div,dv,Dhivehi
dzo,dzo,dz,Dzongkha
ewe,ewe,ee,Ewe
ell,gre,el,Modern Greek (1453-)
eng,eng,en,English
epo,epo,eo,Esperanto
spa,spa,es,Spanish
est,est,et,Estonian
eus,baq,eu,Basque
fas,per,fa,Persian
ful,ful,ff,Fulah
fin,fin,fi,Finnish
fij,fij,fj,Fijian
fao,fao,fo,Faroese
fra,fre,fr,French
fry,fry,fy,Western Frisian
gle,gle,ga,Irish
gla,gla,gd,Scottish Gaelic
glg,glg,gl,Galician
grn,grn,gn,Guarani
guj,guj,gu,Gujarati
glv,glv,gv,Manx
hau,hau,ha,Hausa
heb,heb,he,Hebrew
hin,hin,hi,Hindi
hmo,hmo,ho,Hiri Motu
hrv,scr,hr,Croatian
hat,hat,ht,Haitian
hun,hun,hu,Hungarian
hye,arm,hy,Armenian
her,her,hz,Herero
ina,ina,ia,Interlingua (International Auxiliary Language Association)
ind,ind,id,Indonesian
ile,ile,ie,Interlingue
ibo,ibo,ig,Igbo
iii,iii,ii,Sichuan Yi
ipk,ipk,ik,Inupiaq
ido,ido,io,Ido
isl,ice,is,Icelandic
ita,ita,it,Italian
iku,iku,iu,Inuktitut
jpn,jpn,ja,Japanese
jav,jav,jv,Javanese
kat,geo,ka,Georgian
kon,kon,kg,Kongo
kik,kik,ki,Kikuyu
kua,kua,kj,Kuanyama
kaz,kaz,kk,Kazakh
kal,kal,kl,Kalaallisut
khm,khm,km,Central Khmer
kan,kan,kn,Kannada
kor,kor,ko,Korean
kau,kau,kr,Kanuri
kas,kas,ks,Kashmiri
kur,kur,ku,Kurdish
kom,kom,kv,Komi
cor,cor,kw,Cornish
kir,kir,ky,Kirghiz
lat,lat,la,Latin
ltz,ltz,lb,Luxembourgish
lug,lug,lg,Ganda
lim,lim,li,Limburgan
lin,lin,ln,Lingala
lao,lao,lo,Lao
lit,lit,lt,Lithuanian
lub,lub,lu,Luba-Katanga
lav,lav,lv,Latvian
mlg,mlg,mg,Malagasy
mah,mah,mh,Marshallese
mri,mao,mi,Maori
mkd,mac,mk,Macedonian
mal,mal,ml,Malayalam
mon,mon,mn,Mongolian
mar,mar,mr,Marathi
msa,may,ms,Malay (macrolanguage)
mlt,mlt,mt,Maltese
mya,bur,my,Burmese
nau,nau,na,Nauru
nob,nob,nb,Norwegian Bokmål
nde,nde,nd,North Ndebele
nep,nep,ne,Nepali
ndo,ndo,ng,Ndonga
nld,dut,nl,Dutch
nno,nno,nn,Norwegian Nynorsk
nor,nor,no,Norwegian
nbl,nbl,nr,South Ndebele
nav,nav,nv,Navajo
nya,nya,ny,Nyanja
oci,oci,oc,Occitan (post 1500)
oji,oji,oj,Ojibwa
orm,orm,om,Oromo
ori,ori,or,Oriya
oss,oss,os,Ossetian
pan,pan,pa,Panjabi
pli,pli,pi,Pali
pol,pol,pl,Polish,
pus,pus,ps,Pushto,
por,por,pt,Portuguese,
que,que,qu,Quechua,
roh,roh,rm,Romansh,
run,run,rn,Rundi,
ron,rum,ro,Romanian,
rus,rus,ru,Russian,
kin,kin,rw,Kinyarwanda,
san,san,sa,Sanskrit,
srd,srd,sc,Sardinian,
snd,snd,sd,Sindhi,
sme,sme,se,Northern Sami,
sag,sag,sg,Sango,
hbs,,sh,Serbo-Croatian,Code element for 639-1 has been deprecated
sin,sin,si,Sinhala,
slk,slo,sk,Slovak
slv,slv,sl,Slovenian
smo,smo,sm,Samoan
sna,sna,sn,Shona
som,som,so,Somali
sqi,alb,sq,Albanian
srp,scc,sr,Serbian
ssw,ssw,ss,Swati
sot,sot,st,Southern Sotho
sun,sun,su,Sundanese
swe,swe,sv,Swedish
swa,swa,sw,Swahili (macrolanguage)
tam,tam,ta,Tamil
tel,tel,te,Telugu
tgk,tgk,tg,Tajik
tha,tha,th,Thai
tir,tir,ti,Tigrinya
tuk,tuk,tk,Turkmen
tgl,tgl,tl,Tagalog
tsn,tsn,tn,Tswana
ton,ton,to,Tonga (Tonga Islands)
tur,tur,tr,Turkish
tso,tso,ts,Tsonga
tat,tat,tt,Tatar
twi,twi,tw,Twi
tah,tah,ty,Tahitian
uig,uig,ug,Uighur
ukr,ukr,uk,Ukrainian
urd,urd,ur,Urdu
uzb,uzb,uz,Uzbek
ven,ven,ve,Venda
vie,vie,vi,Vietnamese
vol,vol,vo,Volapük
wln,wln,wa,Walloon
wol,wol,wo,Wolof
xho,xho,xh,Xhosa
yid,yid,yi,Yiddish
yor,yor,yo,Yoruba
zha,zha,za,Zhuang
zho,chi,zh,Chinese
zul,zul,zu,Zulu
