#id	#modified	Family	InstitutionCode	InfraspecificEpithet	Collector	Locality	Genus	InfraspecificRank	BasisOfRecord	MinimumElevationInMeters	SpecificEpithet	ScientificName	Country	EarliestDateCollected	NomenclaturalCode	CatalogNumber	AuthorYearOfScientificName	StateProvince	CollectionCode
a401fb6a-a950-44ad-8b56-1470f18c993f	2008-08-04 10:52:48.0	Lamiaceae		\n	Markus Döring	Doganbey - Seferihisar. N 38°06´25´´ O 26°51´03´´ near the sea., 0m	Ballota		PreservedSpecimen	0	acetabulosa	Ballota acetabulosa (L.) Benth.	Turkey	1999-06-18 00:00:00.0	ICBN	1	(L.) Benth.	Ïzmir	PonTaurus collection
1a7cade5-c17f-4d81-904d-6ef089f511ef	2008-08-04 10:52:48.0	Asteraceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Achillea		PreservedSpecimen	2350	falcata	Achillea falcata L.	Turkey	1999-07-30 00:00:00.0	ICBN	1035	L.	Nigde	PonTaurus collection
a64c6c64-d3c6-43c8-adad-7633d09f6d29	2008-08-04 10:52:48.0	Asteraceae		carduiformis	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Centaurea	Variety	PreservedSpecimen	2350	carduiformis	Centaurea carduiformis var. carduiformis	Turkey	1999-07-30 00:00:00.0	ICBN	1036	\n	Nigde	PonTaurus collection
25615b8c-ce99-4c95-8293-76a19d7db32a	2008-08-04 10:52:48.0	Rosaceae		muricata	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Sanguisorba	Subspecies	PreservedSpecimen	2350	minor	Sanguisorba minor subsp. muricata (Spach) Briq.	Turkey	1999-07-30 00:00:00.0	ICBN	1037	(Spach) Briq.	Nigde	PonTaurus collection
a8de0744-e667-4ea3-977e-fb9aa4655a99	2008-08-04 10:52:48.0	Asteraceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Xeranthemum		PreservedSpecimen	2350	annuum	Xeranthemum annuum L.	Turkey	1999-07-30 00:00:00.0	ICBN	1038	L.	Nigde	PonTaurus collection
70c290d8-db18-46ab-8ff5-1ab8f3c641f7	2008-08-04 10:52:48.0	Fabaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Astragalus		PreservedSpecimen	2350	haussknechtii	Astragalus haussknechtii Bunge	Turkey	1999-07-30 00:00:00.0	ICBN	1039	Bunge	Nigde	PonTaurus collection
e465ad4a-43d0-4ecf-bf6d-0546fc6a455e	2008-08-04 10:52:48.0	Papaveraceae		\n	Markus Döring	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Corydalis		PreservedSpecimen	2180	erdelii	Corydalis erdelii Zucc.	Turkey	1999-06-21 00:00:00.0	ICBN	104	Zucc.	Mugla	PonTaurus collection
d60348f3-ee82-491e-b40d-1d9a927f8baf	2008-08-04 10:52:48.0	Poaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Festuca		PreservedSpecimen	2350	valesiaca	Festuca valesiaca Schleicher ex Gaudin	Turkey	1999-07-30 00:00:00.0	ICBN	1040	Schleicher ex Gaudin	Nigde	PonTaurus collection
a0472b35-cdf8-43d5-923c-c5780b0887cc	2008-08-04 10:52:48.0	Poaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Koeleria		PreservedSpecimen	2350	macrantha	Koeleria macrantha (Ledeb.) Schult.	Turkey	1999-07-30 00:00:00.0	ICBN	1041	(Ledeb.) Schult.	Nigde	PonTaurus collection
c173a7a8-ed80-4560-a738-810b0d73daa9	2008-08-04 10:52:48.0	Fabaceae		cadmea	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Onobrychis	Subspecies	PreservedSpecimen	2200	montana	Onobrychis montana subsp. cadmea (Boiss.) P.W. Ball	Turkey	1999-07-31 00:00:00.0	ICBN	1042	(Boiss.) P.W. Ball	Nigde	PonTaurus collection
b31cef61-9820-4f07-9e99-d540a131562c	2008-08-04 10:52:48.0	Caryophyllaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Gypsophila		PreservedSpecimen	2200	curvifolia	Gypsophila curvifolia Fenzl	Turkey	1999-07-31 00:00:00.0	ICBN	1043	Fenzl	Nigde	PonTaurus collection
