Collection code	Catalogue No	Country (interpreted)	Latitude	Longitude	Coordinate precision	Cell id	Centi cell id
HKU(M)	3500-1	AU	-17.9	146.5		26246	15
HKU(M)	3503-1	AU	-17.9	146.5		26246	15
HKU(M)	3508-1	AU	-17.9	146.5		26246	15
HKU(M)	3510-1	AU	-17.9	146.5		26246	15
HKU(M)	3512	AU	-17.9	146.5		26246	15
HKU(M)	3518-1	HK	22.3	114.3		40614	33
HKU(M)	3518-2	HK	22.3	114.3		40614	33
HKU(M)	3518-3	HK	22.3	114.3		40614	33
HKU(M)	3522-1	HK	22.3	114.3		40614	33
HKU(M)	3525-1	HK	22.3	114.3		40614	33
HKU(M)	3526-1	HK	22.3	114.3		40614	33
HKU(M)	3528	HK	22.3	114.3		40614	33
HKU(M)	3533-1	HK	22.3	114.3		40614	33
HKU(M)	3539-1	HK	22.3	114.3		40614	33
HKU(M)	3539-2	HK	22.3	114.3		40614	33
HKU(M)	3539-3	HK	22.3	114.3		40614	33
HKU(M)	3540-1	HK	22.3	114.3		40614	33
HKU(M)	3540-2	HK	22.3	114.3		40614	33
HKU(M)	3540-3	HK	22.3	114.3		40614	33
HKU(M)	3541-1	HK	22.3	114.3		40614	33
HKU(M)	3542-1	HK	22.3	114.3		40614	33
HKU(M)	3542-2	HK	22.3	114.3		40614	33
HKU(M)	3542-3	HK	22.3	114.3		40614	33
HKU(M)	3542-4	HK	22.3	114.3		40614	33
HKU(M)	3542-5	HK	22.3	114.3		40614	33
HKU(M)	3543-1	HK	22.3	114.3		40614	33
HKU(M)	3543-2	HK	22.3	114.3		40614	33
HKU(M)	3543-3	HK	22.3	114.3		40614	33
HKU(M)	3544	HK	22.3	114.3		40614	33
HKU(M)	3545-1	HK	22.3	114.3		40614	33
HKU(M)	3545-2	HK	22.3	114.3		40614	33
HKU(M)	3546-1	HK	22.3	114.3		40614	33
HKU(M)	3546-2	HK	22.3	114.3		40614	33
HKU(M)	3546-3	HK	22.3	114.3		40614	33
HKU(M)	3547-1	HK	22.3	114.3		40614	33
HKU(M)	3547-2	HK	22.3	114.3		40614	33
HKU(M)	3547-3	HK	22.3	114.3		40614	33
HKU(M)	3548	HK	22.3	114.3		40614	33
HKU(M)	3550	MY	3.1	101.7		33761	17
HKU(M)	3551-1	MY	3.1	101.7		33761	17
HKU(M)	3553-1	MY	3.1	101.7		33761	17
HKU(M)	3553-2	MY	3.1	101.7		33761	17
HKU(M)	3554-1	MY	3.1	101.7		33761	17
HKU(M)	3555-1	MY	3.1	101.7		33761	17
HKU(M)	3555-2	MY	3.1	101.7		33761	17
HKU(M)	3556-1	MY	3.1	101.7		33761	17
HKU(M)	3556-2	MY	3.1	101.7		33761	17
HKU(M)	3557-1	SG	1.3	103.8		33043	38
HKU(M)	3557-2	SG	1.3	103.8		33043	38
HKU(M)	3557-3	SG	1.3	103.8		33043	38
HKU(M)	3558	SG	1.3	103.8		33043	38
HKU(M)	3559-1	SG	1.3	103.8		33043	38
HKU(M)	3559-2	SG	1.3	103.8		33043	38
HKU(M)	3559-3	SG	1.3	103.8		33043	38
HKU(M)	3560-1	SG	1.3	103.8		33043	38
HKU(M)	3560-2	SG	1.3	103.8		33043	38
HKU(M)	3560-3	SG	1.3	103.8		33043	38
HKU(M)	3561	SG	1.3	103.8		33043	38
HKU(M)	3562-1	SG	1.3	103.8		33043	38
HKU(M)	3562-2	SG	1.3	103.8		33043	38
HKU(M)	3563-1	AU	-16.9	145.7		26605	17
HKU(M)	3563-2	AU	-16.9	145.7		26605	17
HKU(M)	3563-3	AU	-16.9	145.7		26605	17
HKU(M)	3567-1	AU	-16.9	145.7		26605	17
HKU(M)	3573-1	AU	-16.9	145.7		26605	17
HKU(M)	3573-2	AU	-16.9	145.7		26605	17
HKU(M)	3573-3	AU	-16.9	145.7		26605	17
HKU(M)	3575-1	AU	-16.9	145.7		26605	17
HKU(M)	3575-2	AU	-16.9	145.7		26605	17
HKU(M)	3577	AU	-16.9	145.7		26605	17
HKU(M)	3579	AU	-16.9	145.7		26605	17
HKU(M)	3581	AU	-16.9	145.7		26605	17
HKU(M)	3582-1	AU	-16.9	145.7		26605	17
HKU(M)	3582-2	AU	-16.9	145.7		26605	17
HKU(M)	3582a	AU	-16.9	145.7		26605	17
HKU(M)	3587-1	AU	-16.9	145.7		26605	17
HKU(M)	3587-2	AU	-16.9	145.7		26605	17
HKU(M)	3588-1	AU	-16.9	145.7		26605	17
HKU(M)	3589-1	AU	-16.9	145.7		26605	17
HKU(M)	3590	AU	-16.9	145.7		26605	17
HKU(M)	3591-1	AU	-16.9	145.7		26605	17
HKU(M)	3591-2	AU	-16.9	145.7		26605	17
HKU(M)	3591-3	AU	-16.9	145.7		26605	17
HKU(M)	3591-4	AU	-16.9	145.7		26605	17
HKU(M)	3592	AU	-16.9	145.7		26605	17
HKU(M)	3595	AU	-16.1	145.3		26605	93
HKU(M)	3596-1	AU	-16.1	145.3		26605	93
HKU(M)	3596-2	AU	-16.1	145.3		26605	93
HKU(M)	3597-1	AU	-16.1	145.3		26605	93
HKU(M)	3597-2	AU	-16.1	145.3		26605	93
HKU(M)	3598-1	AU	-16.1	145.3		26605	93
HKU(M)	3598-2	AU	-16.1	145.3		26605	93
HKU(M)	3598-3	AU	-16.1	145.3		26605	93
HKU(M)	3598-4	AU	-16.1	145.3		26605	93
HKU(M)	3601-1	AU	-16.1	145.3		26605	93
HKU(M)	3601-2	AU	-16.1	145.3		26605	93
HKU(M)	3602	AU	-16.1	145.3		26605	93
HKU(M)	3603	AU	-16.1	145.3		26605	93
HKU(M)	3604-1	AU	-16.1	145.3		26605	93
HKU(M)	3605-1	AU	-16.1	145.3		26605	93
HKU(M)	3605-2	AU	-16.1	145.3		26605	93
HKU(M)	3606-1	AU	-16.1	145.3		26605	93
HKU(M)	3606-2	AU	-16.1	145.3		26605	93
HKU(M)	3607-1	AU	-16.1	145.3		26605	93
HKU(M)	3607-2	AU	-16.1	145.3		26605	93
HKU(M)	3608-1	AU	-16.1	145.3		26605	93
HKU(M)	3608-2	AU	-16.1	145.3		26605	93
HKU(M)	3608-3	AU	-16.1	145.3		26605	93
HKU(M)	3608-4	AU	-16.1	145.3		26605	93
HKU(M)	3608-5	AU	-16.1	145.3		26605	93
HKU(M)	3610-1	AU	-16.1	145.3		26605	93
HKU(M)	3611-1	AU	-16.1	145.3		26605	93
HKU(M)	3611-2	AU	-16.1	145.3		26605	93
HKU(M)	3611-3	AU	-16.1	145.3		26605	93
HKU(M)	3613	AU	-16.1	145.3		26605	93
HKU(M)	3615	AU	-16.1	145.3		26605	93
HKU(M)	3617-1	AU	-16.1	145.3		26605	93
HKU(M)	3618-1	HK	22.3	114.3		40614	33
HKU(M)	3619	AU	-16.1	145.3		26605	93
HKU(M)	3620-1	AU	-16.1	145.3		26605	93
HKU(M)	3622	AU	-16.1	145.3		26605	93
HKU(M)	3623-1	AU	-16.1	145.3		26605	93
HKU(M)	3624	AU	-16.1	145.3		26605	93
