"ID","FAMILY","INSTITUTION_CODE","INFRASPECIFIC_EPITHET","REMARKS","COLLECTOR","KINGDOM","LOCALITY","GENUS","INFRASPECIFIC_RANK","BASIS_OF_RECORD","PHYLUM","SPECIFIC_EPITHET","MINIMUM_ELEVATION_IN_METERS","CLASS","SCIENTIFIC_NAME","NOMENCLATURAL_CODE","EARLIEST_DATE_COLLECTED","COUNTRY","CATALOG_NUMBER","STATE_PROVINCE","AUTHOR_YEAR_OF_SCIENTIFIC_NAME","ORDER","CONTINENT","COLLECTION_CODE"
"3067","Lamiaceae","BGBM",,,"Markus Döring","Plantae","Doganbey - Seferihisar. Near sea , 0m. N 38°06´25´´ O 26°51´03´´","Ballota",,"PreservedSpecimen","Magnoliophyta","acetabulosa","0",,"Ballota acetabulosa (L.) Benth.","ICBN","1999-06-18 00:00:00.0","TR","1","Ïzmir","(L.) Benth.","Lamiales","Asia","B"
"3068","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Achillea",,"PreservedSpecimen","Magnoliophyta","falcata","2350",,"Achillea falcata L.","ICBN","1999-07-30 00:00:00.0","TR","1035","Nigde","L.","Asterales","Asia","B"
"3069","Asteraceae","BGBM","carduiformis",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Centaurea","Variety","PreservedSpecimen","Magnoliophyta","carduiformis","2350",,"Centaurea carduiformis var. carduiformis","ICBN","1999-07-30 00:00:00.0","TR","1036","Nigde",,"Asterales","Asia","B"
"3070","Rosaceae","BGBM","muricata",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Sanguisorba","Subspecies","PreservedSpecimen","Magnoliophyta","minor","2350",,"Sanguisorba minor subsp. muricata (Spach) Briq.","ICBN","1999-07-30 00:00:00.0","TR","1037","Nigde","(Spach) Briq.","Rosales","Asia","B"
"3071","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Xeranthemum",,"PreservedSpecimen","Magnoliophyta","annuum","2350",,"Xeranthemum annuum L.","ICBN","1999-07-30 00:00:00.0","TR","1038","Nigde","L.","Asterales","Asia","B"
"3072","Fabaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Astragalus",,"PreservedSpecimen","Magnoliophyta","haussknechtii","2350",,"Astragalus haussknechtii Bunge","ICBN","1999-07-30 00:00:00.0","TR","1039","Nigde","Bunge","Fabales","Asia","B"
"3073","Papaveraceae","BGBM",,,"Markus Döring","Plantae","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Corydalis",,"PreservedSpecimen","Magnoliophyta","erdelii","2180",,"Corydalis erdelii Zucc.","ICBN","1999-06-21 00:00:00.0","TR","104","Mugla","Zucc.","Papaverales","Asia","B"
"3074","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Festuca",,"PreservedSpecimen","Magnoliophyta","valesiaca","2350",,"Festuca valesiaca Schleicher ex Gaudin","ICBN","1999-07-30 00:00:00.0","TR","1040","Nigde","Schleicher ex Gaudin","Cyperales","Asia","B"
"3075","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Koeleria",,"PreservedSpecimen","Magnoliophyta","macrantha","2350",,"Koeleria macrantha (Ledeb.) Schult.","ICBN","1999-07-30 00:00:00.0","TR","1041","Nigde","(Ledeb.) Schult.","Cyperales","Asia","B"
"3076","Fabaceae","BGBM","cadmea",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Onobrychis","Subspecies","PreservedSpecimen","Magnoliophyta","montana","2200",,"Onobrychis montana subsp. cadmea (Boiss.) P.W. Ball","ICBN","1999-07-31 00:00:00.0","TR","1042","Nigde","(Boiss.) P.W. Ball","Fabales","Asia","B"
