"ID","NOMENCLATURAL_CODE","LABEL","RANK","LOCAL_ID","GUID","LINK","NOTES","TAXONOMIC_STATUS","NOMENCLATURAL_STATUS","NOMENCLATURAL_REFERENCE","ACCEPTED_TAXON_ID","ACCEPTEDTAXON","TAXONOMIC_PARENT_ID","PARENTTAXON"
"33003","icbn","Compositae Giseke","Family","1","51f66c8b-d78f-4a13-bee9-a7107b50d3d7","http://localhost:8080/ipt/10/51f66c8b-d78f-4a13-bee9-a7107b50d3d7/detail.html",,"Accepted",,,"1",,"0",
"33004","icbn","Calendulaceae Cass","Tribus","2","bd9dedcf-6065-4d72-a1d6-5ea1e6053c38","http://localhost:8080/ipt/10/bd9dedcf-6065-4d72-a1d6-5ea1e6053c38/detail.html",,"Accepted",,,"2",,"1","Compositae Giseke"
"33005","icbn","Tripterus Less.","Genus","3","f18adb08-b889-41e1-bbda-4047063c76c2","http://localhost:8080/ipt/10/f18adb08-b889-41e1-bbda-4047063c76c2/detail.html",,"Accepted",,,"3",,"2","Calendulaceae Cass"
"33006","icbn","Tripterus vaillantii Decne.","Species","4","52a5ea8a-2d5f-4d37-9f77-4ec0b61a0853","http://localhost:8080/ipt/10/52a5ea8a-2d5f-4d37-9f77-4ec0b61a0853/detail.html",,"Accepted",,"""in Ann. Sci. Nat., Bot., ser. 2, 2: 260. 1834""","4",,"3","Tripterus Less."
"33007","icbn","Osteospermum vaillantii (Decne.) Norl.","Species","5","32ecbd0c-a485-4ef6-9727-b921261fdb0a","http://localhost:8080/ipt/10/32ecbd0c-a485-4ef6-9727-b921261fdb0a/detail.html",,"Homotypic Synonym",,"Stud. Calend.: 305. 1943","4","Tripterus vaillantii Decne.","NULL",
"33008","icbn","Calendula L.","Genus","6","61f1d7b0-8af9-4201-9ebf-ced3047aee2b","http://localhost:8080/ipt/10/61f1d7b0-8af9-4201-9ebf-ced3047aee2b/detail.html",,"Accepted",,"Sp. Pl.: 921. 1753","6",,"2","Calendulaceae Cass"
"33009","icbn","Calendula arvensis (Vaill.) L.","Species","7","2e68b748-5643-4c6e-a7a2-6938405c9769","http://localhost:8080/ipt/10/2e68b748-5643-4c6e-a7a2-6938405c9769/detail.html",,"Accepted",,"""Sp. Pl., ed. 2: 1303. 1763""","7",,"6","Calendula L."
"33010","icbn","Caltha arvensis Vaill.","Species","8","7a93bb51-4c49-4b4f-bc32-65d6f4556357","http://localhost:8080/ipt/10/7a93bb51-4c49-4b4f-bc32-65d6f4556357/detail.html",,"Homotypic Synonym",,"in K�nigl. Akad. Wiss. Paris Phys. Abh. 5: 558. 1754","7","Calendula arvensis (Vaill.) L.","NULL",
"33011","icbn","Calendula officinalis subsp. arvensis (Vaill.) Fiori","Subspecies","9","8413e2a5-1480-494d-87fa-41fdaead6477","http://localhost:8080/ipt/10/8413e2a5-1480-494d-87fa-41fdaead6477/detail.html",,"Heterotypic Synonym",,"""in Fiori & Paoletti, Fl. Italia 3: 297. 1904""","7","Calendula arvensis (Vaill.) L.","NULL",
"33012","icbn","Calendula aegyptiaca Pers.","Species","10","ae52dd46-ec5c-4a35-be1a-4f599cc60d4b","http://localhost:8080/ipt/10/ae52dd46-ec5c-4a35-be1a-4f599cc60d4b/detail.html",,"Heterotypic Synonym",,"Syn. Pl. 2: 492. 1807","7","Calendula arvensis (Vaill.) L.","NULL",
"33013","icbn","Calendula alata Rech. f.","Species","11","381fcf12-466b-416f-b158-c0acc76df8fb","http://localhost:8080/ipt/10/381fcf12-466b-416f-b158-c0acc76df8fb/detail.html",,"Heterotypic Synonym",,"Fl. Iran. 164: 104. 1989","7","Calendula arvensis (Vaill.) L.","NULL",
"33014","icbn","Calendula bicolor Raf.","Species","12","47a6759b-bdc0-4457-9550-62d29f3c51d8","http://localhost:8080/ipt/10/47a6759b-bdc0-4457-9550-62d29f3c51d8/detail.html",,"Heterotypic Synonym",,"Caratt. Nuov. Gen.: 82. 1810","7","Calendula arvensis (Vaill.) L.","NULL",
"33015","icbn","Calendula ceratosperma Viv.","Species","13","fe2e8e19-7283-423f-a1bb-59d4ca6a3749","http://localhost:8080/ipt/10/fe2e8e19-7283-423f-a1bb-59d4ca6a3749/detail.html",,"Heterotypic Synonym",,"Fl. Libyc. Spec.: 59. 1824","7","Calendula arvensis (Vaill.) L.","NULL",
"33016","icbn","Calendula crista-galli Viv.","Species","14","0be4e8f2-7cfe-4bea-8426-049afb4ce3f3","http://localhost:8080/ipt/10/0be4e8f2-7cfe-4bea-8426-049afb4ce3f3/detail.html",,"Heterotypic Synonym",,"Fl. Libyc. Spec.: 59. 1824","7","Calendula arvensis (Vaill.) L.","NULL",
"33017","icbn","Calendula echinata DC.","Species","15","a24ba527-ef87-4a7e-9ace-9923b01e1c98","http://localhost:8080/ipt/10/a24ba527-ef87-4a7e-9ace-9923b01e1c98/detail.html",,"Heterotypic Synonym",,"Prodr. 6: 453. 1838","7","Calendula arvensis (Vaill.) L.","NULL",
"33018","icbn","Calendula gracilis DC.","Species","16","182c2098-6eb5-4502-b771-5a26b978fc70","http://localhost:8080/ipt/10/182c2098-6eb5-4502-b771-5a26b978fc70/detail.html",,"Heterotypic Synonym",,"Prodr. 6: 453. 1838","7","Calendula arvensis (Vaill.) L.","NULL",
"33019","icbn","Calendula macroptera (Rouy) H. J. Coste","Species","17","d5dc4c5a-c0f7-4ee6-a63e-798d72c2db24","http://localhost:8080/ipt/10/d5dc4c5a-c0f7-4ee6-a63e-798d72c2db24/detail.html",,"Heterotypic Synonym",,"Fl. Descr. France 3: 721. 1906","7","Calendula arvensis (Vaill.) L.","NULL",
"33020","icbn","Calendula malacitana Boiss. & Reut.","Species","18","264d521f-7a29-48b2-bab9-e1b8b81f898e","http://localhost:8080/ipt/10/264d521f-7a29-48b2-bab9-e1b8b81f898e/detail.html",,"Heterotypic Synonym",,"Pugill. Pl. Afr. Bor. Hispan.: 61. 1852","7","Calendula arvensis (Vaill.) L.","NULL",
"33021","icbn","Calendula micrantha Tineo & Guss.","Species","19","1ffc582e-027f-41ac-ae75-8bb4c673b5b0","http://localhost:8080/ipt/10/1ffc582e-027f-41ac-ae75-8bb4c673b5b0/detail.html",,"Heterotypic Synonym",,"""n Gussone, Fl. Sicul. Syn. 2: 874. 1845""","7","Calendula arvensis (Vaill.) L.","NULL",
"33022","icbn","Calendula parviflora Raf. [non Thunb. 1800]","Species","20","58204bf2-0537-42a5-9e71-c1dffe3c853f","http://localhost:8080/ipt/10/58204bf2-0537-42a5-9e71-c1dffe3c853f/detail.html",,"Heterotypic Synonym",,"Caratt. Nuov. Gen.: 83. 1810","7","Calendula arvensis (Vaill.) L.","NULL",
"33023","icbn","Calendula persica C. A. Mey.","Species","21","189eeaa9-0c7a-4120-8720-5328913776cb","http://localhost:8080/ipt/10/189eeaa9-0c7a-4120-8720-5328913776cb/detail.html",,"Heterotypic Synonym",,"Verz. Pfl. Casp. Meer.: 72. 1831","7","Calendula arvensis (Vaill.) L.","NULL",
"33024","icbn","Calendula sancta L.","Species","22","e58af6e4-8b69-4c0a-aa8a-f3beea0a4515","http://localhost:8080/ipt/10/e58af6e4-8b69-4c0a-aa8a-f3beea0a4515/detail.html",,"Heterotypic Synonym",,"""Sp. Pl., ed. 2: 1304. 1763""","7","Calendula arvensis (Vaill.) L.","NULL",
"33025","icbn","Calendula sinuata Boiss. & Gaill.","Species","23","4615f71a-35d3-4bba-9070-e7a87f8cc254","http://localhost:8080/ipt/10/4615f71a-35d3-4bba-9070-e7a87f8cc254/detail.html",,"Heterotypic Synonym",,"""in Boissier, Diagn. Pl. Orient., ser. 2, 6: 109. 1859""","7","Calendula arvensis (Vaill.) L.","NULL",
"33026","icbn","Calendula sublanata Rchb. f.","Species","24","237a727d-88ef-4ffb-a119-0fb93db2c4c2","http://localhost:8080/ipt/10/237a727d-88ef-4ffb-a119-0fb93db2c4c2/detail.html",,"Heterotypic Synonym",,"""in Reichenbach, Icon. Fl. Germ. Helv. 15: 99. 1853""","7","Calendula arvensis (Vaill.) L.","NULL",
"33027","icbn","Calendula arvensis subsp. aegyptiaca (Pers.) Hayek","Subspecies","25","e86ae835-c8a6-4b7e-9091-cce982cb74e8","http://localhost:8080/ipt/10/e86ae835-c8a6-4b7e-9091-cce982cb74e8/detail.html",,"Heterotypic Synonym",,"in Repert. Spec. Nov. Regni Veg. Beih. 30(2): 685. 1931","7","Calendula arvensis (Vaill.) L.","NULL",
"33028","icbn","Calendula arvensis subsp. bicolor (Raf.) Nyman","Subspecies","26","337a37c8-3ded-4925-86a0-33b52008fd1a","http://localhost:8080/ipt/10/337a37c8-3ded-4925-86a0-33b52008fd1a/detail.html",,"Heterotypic Synonym",,"Consp. Fl. Eur.: 398. 1879","7","Calendula arvensis (Vaill.) L.","NULL",
"33029","icbn","Calendula arvensis subsp. hydruntina (Fiori) Lanza","Subspecies","27","f9900fe3-09ad-4955-b3ca-e278246078c1","http://localhost:8080/ipt/10/f9900fe3-09ad-4955-b3ca-e278246078c1/detail.html",,"Heterotypic Synonym",,"in Atti Reale Accad. Sci. Lett. Belle Arti Palermo 11: 113. 1919","7","Calendula arvensis (Vaill.) L.","NULL",
"33030","icbn","Calendula arvensis subsp. macroptera Rouy","Subspecies","28","d571ace4-2493-420c-afcd-d605a168f4a1","http://localhost:8080/ipt/10/d571ace4-2493-420c-afcd-d605a168f4a1/detail.html",,"Heterotypic Synonym",,"Fl. France 8: 355. 1903","7","Calendula arvensis (Vaill.) L.","NULL",
"33031","icbn","Calendula arvensis subsp. malacitana (Boiss. & Reut.) Cout.","Subspecies","29","dbccc04e-d6eb-4482-9b12-0f7d797c17e7","http://localhost:8080/ipt/10/dbccc04e-d6eb-4482-9b12-0f7d797c17e7/detail.html",,"Heterotypic Synonym",,"Fl. Portugal: 642. 1913","7","Calendula arvensis (Vaill.) L.","NULL",
"33032","icbn","Calendula arvensis subsp. micrantha (Tineo & Guss.) Arcang.","Subspecies","30","801cb82a-3663-4010-a10a-5bc94e7d9d9c","http://localhost:8080/ipt/10/801cb82a-3663-4010-a10a-5bc94e7d9d9c/detail.html",,"Heterotypic Synonym",,"""Comp. Fl. Ital., ed. 2: 695. 1894""","7","Calendula arvensis (Vaill.) L.","NULL",
"33033","icbn","Calendula arvensis subsp. sublanata (Rchb. f.) Nyman","Subspecies","31","da29bb60-8c09-4ba8-8547-4b78eb565bc3","http://localhost:8080/ipt/10/da29bb60-8c09-4ba8-8547-4b78eb565bc3/detail.html",,"Heterotypic Synonym",,"Consp. Fl. Eur.: 398. 1879","7","Calendula arvensis (Vaill.) L.","NULL",
