"ID","NOMENCLATURAL_CODE","LABEL","RANK","LOCAL_ID","GUID","LINK","NOTES","TAXONOMIC_STATUS","NOMENCLATURAL_STATUS","NOMENCLATURAL_REFERENCE","ACCEPTED_TAXON_ID","ACCEPTEDTAXON","TAXONOMIC_PARENT_ID","PARENTTAXON"
"30237","icbn","Compositae Giseke","Family","1","2f56bfb5-8d6e-4747-b791-b40ea91880ce","http://localhost:8080/10/2f56bfb5-8d6e-4747-b791-b40ea91880ce/detail.html",,"Accepted",,,"1",,"0",
"30238","icbn","Calendulaceae Cass","Tribus","2","90d45201-8212-4160-bd9d-26d7e0aaa722","http://localhost:8080/10/90d45201-8212-4160-bd9d-26d7e0aaa722/detail.html",,"Accepted",,,"2",,"1","Compositae Giseke"
"30239","icbn","Tripterus Less.","Genus","3","dbcf38a5-78f4-4d64-943d-096dae67ef40","http://localhost:8080/10/dbcf38a5-78f4-4d64-943d-096dae67ef40/detail.html",,"Accepted",,,"3",,"2","Calendulaceae Cass"
"30240","icbn","Tripterus vaillantii Decne.","Species","4","adac522b-17f5-401d-aa52-1804ce596d24","http://localhost:8080/10/adac522b-17f5-401d-aa52-1804ce596d24/detail.html",,"Accepted",,"""in Ann. Sci. Nat., Bot., ser. 2, 2: 260. 1834""","4",,"3","Tripterus Less."
"30241","icbn","Osteospermum vaillantii (Decne.) Norl.","Species","5","9c86b5f3-49aa-476e-8b1a-be66fffb7b4c","http://localhost:8080/10/9c86b5f3-49aa-476e-8b1a-be66fffb7b4c/detail.html",,"Homotypic Synonym",,"Stud. Calend.: 305. 1943","4","Tripterus vaillantii Decne.","NULL",
"30242","icbn","Calendula L.","Genus","6","965da24e-4d30-4612-b3b4-6e4f6b618082","http://localhost:8080/10/965da24e-4d30-4612-b3b4-6e4f6b618082/detail.html",,"Accepted",,"Sp. Pl.: 921. 1753","6",,"2","Calendulaceae Cass"
"30243","icbn","Calendula arvensis (Vaill.) L.","Species","7","a2f14ccc-c277-42dd-8235-3ae72ee33621","http://localhost:8080/10/a2f14ccc-c277-42dd-8235-3ae72ee33621/detail.html",,"Accepted",,"""Sp. Pl., ed. 2: 1303. 1763""","7",,"6","Calendula L."
"30244","icbn","Caltha arvensis Vaill.","Species","8","28071002-377a-4d1d-bf41-0b5d8b7bd1d4","http://localhost:8080/10/28071002-377a-4d1d-bf41-0b5d8b7bd1d4/detail.html",,"Homotypic Synonym",,"in K�nigl. Akad. Wiss. Paris Phys. Abh. 5: 558. 1754","7","Calendula arvensis (Vaill.) L.","NULL",
"30245","icbn","Calendula officinalis subsp. arvensis (Vaill.) Fiori","Subspecies","9","921cb5c2-40f8-4424-b928-9ce8ed399c05","http://localhost:8080/10/921cb5c2-40f8-4424-b928-9ce8ed399c05/detail.html",,"Heterotypic Synonym",,"""in Fiori & Paoletti, Fl. Italia 3: 297. 1904""","7","Calendula arvensis (Vaill.) L.","NULL",
"30246","icbn","Calendula aegyptiaca Pers.","Species","10","fd7b43b5-3a9c-4617-8002-135f69fdb446","http://localhost:8080/10/fd7b43b5-3a9c-4617-8002-135f69fdb446/detail.html",,"Heterotypic Synonym",,"Syn. Pl. 2: 492. 1807","7","Calendula arvensis (Vaill.) L.","NULL",
"30247","icbn","Calendula alata Rech. f.","Species","11","bbc8b0c5-81eb-4135-93ed-672dd82240a4","http://localhost:8080/10/bbc8b0c5-81eb-4135-93ed-672dd82240a4/detail.html",,"Heterotypic Synonym",,"Fl. Iran. 164: 104. 1989","7","Calendula arvensis (Vaill.) L.","NULL",
"30248","icbn","Calendula bicolor Raf.","Species","12","3929b8da-737a-476b-96b9-cc34eee4a5f6","http://localhost:8080/10/3929b8da-737a-476b-96b9-cc34eee4a5f6/detail.html",,"Heterotypic Synonym",,"Caratt. Nuov. Gen.: 82. 1810","7","Calendula arvensis (Vaill.) L.","NULL",
"30249","icbn","Calendula ceratosperma Viv.","Species","13","ce6d2d4b-4631-442f-95c2-26657c868fba","http://localhost:8080/10/ce6d2d4b-4631-442f-95c2-26657c868fba/detail.html",,"Heterotypic Synonym",,"Fl. Libyc. Spec.: 59. 1824","7","Calendula arvensis (Vaill.) L.","NULL",
"30250","icbn","Calendula crista-galli Viv.","Species","14","2e2bb8d9-536c-4e43-b5e4-80efd1c4a2da","http://localhost:8080/10/2e2bb8d9-536c-4e43-b5e4-80efd1c4a2da/detail.html",,"Heterotypic Synonym",,"Fl. Libyc. Spec.: 59. 1824","7","Calendula arvensis (Vaill.) L.","NULL",
"30251","icbn","Calendula echinata DC.","Species","15","09e22891-38b9-4037-9bf8-b3b83189a7ee","http://localhost:8080/10/09e22891-38b9-4037-9bf8-b3b83189a7ee/detail.html",,"Heterotypic Synonym",,"Prodr. 6: 453. 1838","7","Calendula arvensis (Vaill.) L.","NULL",
"30252","icbn","Calendula gracilis DC.","Species","16","a5d3ea36-74e0-4b30-bdea-2b37cadab1d6","http://localhost:8080/10/a5d3ea36-74e0-4b30-bdea-2b37cadab1d6/detail.html",,"Heterotypic Synonym",,"Prodr. 6: 453. 1838","7","Calendula arvensis (Vaill.) L.","NULL",
"30253","icbn","Calendula macroptera (Rouy) H. J. Coste","Species","17","6895b951-b5df-4a04-8e81-c9a7a6af9cf1","http://localhost:8080/10/6895b951-b5df-4a04-8e81-c9a7a6af9cf1/detail.html",,"Heterotypic Synonym",,"Fl. Descr. France 3: 721. 1906","7","Calendula arvensis (Vaill.) L.","NULL",
"30254","icbn","Calendula malacitana Boiss. & Reut.","Species","18","4753cbba-3e26-45fe-b784-88cc6d937f75","http://localhost:8080/10/4753cbba-3e26-45fe-b784-88cc6d937f75/detail.html",,"Heterotypic Synonym",,"Pugill. Pl. Afr. Bor. Hispan.: 61. 1852","7","Calendula arvensis (Vaill.) L.","NULL",
"30255","icbn","Calendula micrantha Tineo & Guss.","Species","19","138087b9-d280-4531-9300-648318056667","http://localhost:8080/10/138087b9-d280-4531-9300-648318056667/detail.html",,"Heterotypic Synonym",,"""n Gussone, Fl. Sicul. Syn. 2: 874. 1845""","7","Calendula arvensis (Vaill.) L.","NULL",
"30256","icbn","Calendula parviflora Raf. [non Thunb. 1800]","Species","20","894be0ef-f40f-48bb-bbd1-ce476ae86a93","http://localhost:8080/10/894be0ef-f40f-48bb-bbd1-ce476ae86a93/detail.html",,"Heterotypic Synonym",,"Caratt. Nuov. Gen.: 83. 1810","7","Calendula arvensis (Vaill.) L.","NULL",
