"ID","URI","ISSUED","IDENTIFIER","VOCABULARY_FK","CONCEPT_ORDER","LINK"
"94917","http://iso.org/iso3166#CX","2008-12-17 20:39:51.0","CX","13","53",
"94918","http://iso.org/iso3166#CY","2008-12-17 20:39:51.0","CY","13","54",
"94919","http://iso.org/iso3166#CZ","2008-12-17 20:39:51.0","CZ","13","55",
"94920","http://iso.org/iso3166#DE","2008-12-17 20:39:51.0","DE","13","56",
"94921","http://iso.org/iso3166#DJ","2008-12-17 20:39:51.0","DJ","13","57",
"94922","http://iso.org/iso3166#DK","2008-12-17 20:39:51.0","DK","13","58",
"94923","http://iso.org/iso3166#DM","2008-12-17 20:39:51.0","DM","13","59",
"94924","http://iso.org/iso3166#DO","2008-12-17 20:39:51.0","DO","13","60",
"94925","http://iso.org/iso3166#DZ","2008-12-17 20:39:51.0","DZ","13","61",
"94926","http://iso.org/iso3166#EC","2008-12-17 20:39:51.0","EC","13","62",
"94927","http://iso.org/iso3166#EE","2008-12-17 20:39:51.0","EE","13","63",
"94928","http://iso.org/iso3166#EG","2008-12-17 20:39:51.0","EG","13","64",
"94929","http://iso.org/iso3166#EH","2008-12-17 20:39:51.0","EH","13","65",
"94930","http://iso.org/iso3166#ER","2008-12-17 20:39:51.0","ER","13","66",
"94931","http://iso.org/iso3166#ES","2008-12-17 20:39:51.0","ES","13","67",
"94932","http://iso.org/iso3166#ET","2008-12-17 20:39:51.0","ET","13","68",
"94933","http://iso.org/iso3166#FI","2008-12-17 20:39:51.0","FI","13","69",
"94934","http://iso.org/iso3166#FJ","2008-12-17 20:39:51.0","FJ","13","70",
"94935","http://iso.org/iso3166#FK","2008-12-17 20:39:51.0","FK","13","71",
"94936","http://iso.org/iso3166#FM","2008-12-17 20:39:51.0","FM","13","72",
"94937","http://iso.org/iso3166#FO","2008-12-17 20:39:51.0","FO","13","73",
"94938","http://iso.org/iso3166#FR","2008-12-17 20:39:51.0","FR","13","74",
"94939","http://iso.org/iso3166#GA","2008-12-17 20:39:51.0","GA","13","75",
"94940","http://iso.org/iso3166#GB","2008-12-17 20:39:51.0","GB","13","76",
"94941","http://iso.org/iso3166#GD","2008-12-17 20:39:51.0","GD","13","77",
"94942","http://iso.org/iso3166#GE","2008-12-17 20:39:51.0","GE","13","78",
"94943","http://iso.org/iso3166#GF","2008-12-17 20:39:51.0","GF","13","79",
"94944","http://iso.org/iso3166#GG","2008-12-17 20:39:51.0","GG","13","80",
"94945","http://iso.org/iso3166#GH","2008-12-17 20:39:51.0","GH","13","81",
"94946","http://iso.org/iso3166#GI","2008-12-17 20:39:51.0","GI","13","82",
"94947","http://iso.org/iso3166#GL","2008-12-17 20:39:51.0","GL","13","83",
"94948","http://iso.org/iso3166#GM","2008-12-17 20:39:51.0","GM","13","84",
"94949","http://iso.org/iso3166#GN","2008-12-17 20:39:51.0","GN","13","85",
"94950","http://iso.org/iso3166#GP","2008-12-17 20:39:51.0","GP","13","86",
"94951","http://iso.org/iso3166#GQ","2008-12-17 20:39:51.0","GQ","13","87",
"94952","http://iso.org/iso3166#GR","2008-12-17 20:39:51.0","GR","13","88",
"94953","http://iso.org/iso3166#GS","2008-12-17 20:39:51.0","GS","13","89",
"94954","http://iso.org/iso3166#GT","2008-12-17 20:39:51.0","GT","13","90",
"94955","http://iso.org/iso3166#GU","2008-12-17 20:39:51.0","GU","13","91",
"94956","http://iso.org/iso3166#GW","2008-12-17 20:39:51.0","GW","13","92",
"94957","http://iso.org/iso3166#GY","2008-12-17 20:39:51.0","GY","13","93",
"94958","http://iso.org/iso3166#HK","2008-12-17 20:39:51.0","HK","13","94",
"94959","http://iso.org/iso3166#HM","2008-12-17 20:39:51.0","HM","13","95",
"94960","http://iso.org/iso3166#HN","2008-12-17 20:39:51.0","HN","13","96",
"94961","http://iso.org/iso3166#HR","2008-12-17 20:39:51.0","HR","13","97",
"94962","http://iso.org/iso3166#HT","2008-12-17 20:39:51.0","HT","13","98",
"94963","http://iso.org/iso3166#HU","2008-12-17 20:39:51.0","HU","13","99",
"94964","http://iso.org/iso3166#ID","2008-12-17 20:39:51.0","ID","13","100",
"94965","http://iso.org/iso3166#IE","2008-12-17 20:39:51.0","IE","13","101",
"94966","http://iso.org/iso3166#IL","2008-12-17 20:39:51.0","IL","13","102",
"94967","http://iso.org/iso3166#IM","2008-12-17 20:39:51.0","IM","13","103",
"94968","http://iso.org/iso3166#IN","2008-12-17 20:39:51.0","IN","13","104",
"94969","http://iso.org/iso3166#IO","2008-12-17 20:39:51.0","IO","13","105",
"94970","http://iso.org/iso3166#IQ","2008-12-17 20:39:51.0","IQ","13","106",
"94971","http://iso.org/iso3166#IR","2008-12-17 20:39:51.0","IR","13","107",
"94972","http://iso.org/iso3166#IS","2008-12-17 20:39:51.0","IS","13","108",
"94973","http://iso.org/iso3166#IT","2008-12-17 20:39:51.0","IT","13","109",
"94974","http://iso.org/iso3166#JE","2008-12-17 20:39:51.0","JE","13","110",
"94975","http://iso.org/iso3166#JM","2008-12-17 20:39:51.0","JM","13","111",
"94976","http://iso.org/iso3166#JO","2008-12-17 20:39:51.0","JO","13","112",
"94977","http://iso.org/iso3166#JP","2008-12-17 20:39:51.0","JP","13","113",
"94978","http://iso.org/iso3166#KE","2008-12-17 20:39:51.0","KE","13","114",
"94979","http://iso.org/iso3166#KG","2008-12-17 20:39:51.0","KG","13","115",
"94980","http://iso.org/iso3166#KH","2008-12-17 20:39:51.0","KH","13","116",
"94981","http://iso.org/iso3166#KI","2008-12-17 20:39:51.0","KI","13","117",
"94982","http://iso.org/iso3166#KM","2008-12-17 20:39:51.0","KM","13","118",
"94983","http://iso.org/iso3166#KN","2008-12-17 20:39:51.0","KN","13","119",
"94984","http://iso.org/iso3166#KP","2008-12-17 20:39:51.0","KP","13","120",
"94985","http://iso.org/iso3166#KR","2008-12-17 20:39:51.0","KR","13","121",
"94986","http://iso.org/iso3166#KW","2008-12-17 20:39:51.0","KW","13","122",
"94987","http://iso.org/iso3166#KY","2008-12-17 20:39:51.0","KY","13","123",
"94988","http://iso.org/iso3166#KZ","2008-12-17 20:39:51.0","KZ","13","124",
"94989","http://iso.org/iso3166#LA","2008-12-17 20:39:51.0","LA","13","125",
"94990","http://iso.org/iso3166#LB","2008-12-17 20:39:51.0","LB","13","126",
"94991","http://iso.org/iso3166#LC","2008-12-17 20:39:51.0","LC","13","127",
"94992","http://iso.org/iso3166#LI","2008-12-17 20:39:51.0","LI","13","128",
"94993","http://iso.org/iso3166#LK","2008-12-17 20:39:51.0","LK","13","129",
"94994","http://iso.org/iso3166#LR","2008-12-17 20:39:51.0","LR","13","130",
"94995","http://iso.org/iso3166#LS","2008-12-17 20:39:51.0","LS","13","131",
"94996","http://iso.org/iso3166#LT","2008-12-17 20:39:51.0","LT","13","132",
"94997","http://iso.org/iso3166#LU","2008-12-17 20:39:51.0","LU","13","133",
"94998","http://iso.org/iso3166#LV","2008-12-17 20:39:51.0","LV","13","134",
"94999","http://iso.org/iso3166#LY","2008-12-17 20:39:51.0","LY","13","135",
"95000","http://iso.org/iso3166#MA","2008-12-17 20:39:51.0","MA","13","136",
"95001","http://iso.org/iso3166#MC","2008-12-17 20:39:51.0","MC","13","137",
"95002","http://iso.org/iso3166#MD","2008-12-17 20:39:51.0","MD","13","138",
"95003","http://iso.org/iso3166#ME","2008-12-17 20:39:51.0","ME","13","139",
"95004","http://iso.org/iso3166#MG","2008-12-17 20:39:51.0","MG","13","140",
"95005","http://iso.org/iso3166#MH","2008-12-17 20:39:51.0","MH","13","141",
"95006","http://iso.org/iso3166#MK","2008-12-17 20:39:51.0","MK","13","142",
"95007","http://iso.org/iso3166#ML","2008-12-17 20:39:51.0","ML","13","143",
"95008","http://iso.org/iso3166#MM","2008-12-17 20:39:51.0","MM","13","144",
"95009","http://iso.org/iso3166#MN","2008-12-17 20:39:51.0","MN","13","145",
"95010","http://iso.org/iso3166#MO","2008-12-17 20:39:51.0","MO","13","146",
"95011","http://iso.org/iso3166#MP","2008-12-17 20:39:51.0","MP","13","147",
"95012","http://iso.org/iso3166#MQ","2008-12-17 20:39:51.0","MQ","13","148",
"95013","http://iso.org/iso3166#MR","2008-12-17 20:39:51.0","MR","13","149",
"95014","http://iso.org/iso3166#MS","2008-12-17 20:39:51.0","MS","13","150",
"95015","http://iso.org/iso3166#MT","2008-12-17 20:39:51.0","MT","13","151",
"95016","http://iso.org/iso3166#MU","2008-12-17 20:39:51.0","MU","13","152",
"95017","http://iso.org/iso3166#MV","2008-12-17 20:39:51.0","MV","13","153",
"95018","http://iso.org/iso3166#MW","2008-12-17 20:39:51.0","MW","13","154",
"95019","http://iso.org/iso3166#MX","2008-12-17 20:39:51.0","MX","13","155",
"95020","http://iso.org/iso3166#MY","2008-12-17 20:39:51.0","MY","13","156",
"95021","http://iso.org/iso3166#MZ","2008-12-17 20:39:51.0","MZ","13","157",
"95022","http://iso.org/iso3166#NA","2008-12-17 20:39:51.0","NA","13","158",
"95023","http://iso.org/iso3166#NC","2008-12-17 20:39:51.0","NC","13","159",
