"ID","BBOX_MAX_LATITUDE","BBOX_MAX_LONGITUDE","BBOX_MIN_LATITUDE","BBOX_MIN_LONGITUDE","NOMENCLATURAL_CODE","TYPE","LABEL","LFT","OCC_TOTAL","RANK","RGT","RESOURCE_FK","PARENT_FK","LOCAL_ID","GUID","LINK","DELETED","MODIFIED","BASIONYM_FK","ACCEPTED_TAXON_FK","NOTES","TAXONOMIC_STATUS","NOMENCLATURAL_STATUS","NOMENCLATURAL_REFERENCE","BASIONYM_ID","ACCEPTED_TAXON_ID","TAXONOMIC_PARENT_ID","MPATH"
"26451",,,,,,"4","Compositae Giseke","1","0","family","12","7",,"1","6e8d5ad8-d161-4fa3-96b3-28274c88f471","http://localhost:8080/data/7/6e8d5ad8-d161-4fa3-96b3-28274c88f471/detail.html","FALSE","2009-01-07 20:24:44.375",,,,"Accepted",,,"NULL","1","0",
"26460",,,,,,"6","Calendula aegyptiaca Pers.","51","0","species","52","7",,"10","fa5cbe88-acce-4da0-82e4-f105cff69764","http://localhost:8080/data/7/fa5cbe88-acce-4da0-82e4-f105cff69764/detail.html","FALSE","2009-01-07 20:24:44.505",,"26457",,"Heterotypic Synonym",,"Syn. Pl. 2: 492. 1807","Calendula aegyptiaca Pers.","7","NULL",
"26461",,,,,,"6","Calendula alata Rech. f.","53","0","species","54","7",,"11","650ffb1d-30b7-4c51-a0be-9ade0648afef","http://localhost:8080/data/7/650ffb1d-30b7-4c51-a0be-9ade0648afef/detail.html","FALSE","2009-01-07 20:24:44.509",,"26457",,"Heterotypic Synonym",,"Fl. Iran. 164: 104. 1989","Caltha arvensis Vaill.","7","NULL",
"26462",,,,,,"6","Calendula bicolor Raf.","55","0","species","56","7",,"12","b5071ece-b77a-465c-9991-4dfee4bff6d7","http://localhost:8080/data/7/b5071ece-b77a-465c-9991-4dfee4bff6d7/detail.html","FALSE","2009-01-07 20:24:44.511",,"26457",,"Heterotypic Synonym",,"Caratt. Nuov. Gen.: 82. 1810","Calendula bicolor Raf.","7","NULL",
"26463",,,,,,"6","Calendula ceratosperma Viv.","57","0","species","58","7",,"13","7c289119-7a70-421b-a60b-68cb58479fcd","http://localhost:8080/data/7/7c289119-7a70-421b-a60b-68cb58479fcd/detail.html","FALSE","2009-01-07 20:24:44.513",,"26457",,"Heterotypic Synonym",,"Fl. Libyc. Spec.: 59. 1824","Calendula ceratosperma Viv.","7","NULL",
"26464",,,,,,"6","Calendula crista-galli Viv.","59","0","species","60","7",,"14","5f2f6142-9d34-4f00-aade-6e0322c4471c","http://localhost:8080/data/7/5f2f6142-9d34-4f00-aade-6e0322c4471c/detail.html","FALSE","2009-01-07 20:24:44.516",,"26457",,"Heterotypic Synonym",,"Fl. Libyc. Spec.: 59. 1824","Calendula crista-galli Viv.","7","NULL",
"26465",,,,,,"6","Calendula echinata DC.","61","0","species","62","7",,"15","7f1a1e9e-ee05-4321-adda-bce1f3230c48","http://localhost:8080/data/7/7f1a1e9e-ee05-4321-adda-bce1f3230c48/detail.html","FALSE","2009-01-07 20:24:44.517",,"26457",,"Heterotypic Synonym",,"Prodr. 6: 453. 1838","Calendula echinata DC.","7","NULL",
"26466",,,,,,"6","Calendula gracilis DC.","65","0","species","66","7",,"16","d616f051-2719-472b-8307-0fd4cf32f3e4","http://localhost:8080/data/7/d616f051-2719-472b-8307-0fd4cf32f3e4/detail.html","FALSE","2009-01-07 20:24:44.549",,"26457",,"Heterotypic Synonym",,"Prodr. 6: 453. 1838","Calendula gracilis DC.","7","NULL",
"26467",,,,,,"6","Calendula macroptera (Rouy) H. J. Coste","81","0","species","82","7",,"17","df5e6f01-95a6-45ec-b849-037ad9bbb4be","http://localhost:8080/data/7/df5e6f01-95a6-45ec-b849-037ad9bbb4be/detail.html","FALSE","2009-01-07 20:24:44.552",,"26457",,"Heterotypic Synonym",,"Fl. Descr. France 3: 721. 1906","Calendula arvensis subsp. macroptera Rouy","7","NULL",
"26468",,,,,,"6","Calendula malacitana Boiss. & Reut.","67","0","species","68","7",,"18","58592d85-e55f-4277-a153-98ed2abdc1ac","http://localhost:8080/data/7/58592d85-e55f-4277-a153-98ed2abdc1ac/detail.html","FALSE","2009-01-07 20:24:44.554",,"26457",,"Heterotypic Synonym",,"Pugill. Pl. Afr. Bor. Hispan.: 61. 1852","Calendula malacitana Boiss. & Reut.","7","NULL",
"26469",,,,,,"6","Calendula micrantha Tineo & Guss.","69","0","species","70","7",,"19","dc9b9702-f81c-43eb-b85b-f7e480b3a6c0","http://localhost:8080/data/7/dc9b9702-f81c-43eb-b85b-f7e480b3a6c0/detail.html","FALSE","2009-01-07 20:24:44.558",,"26457",,"Heterotypic Synonym",,"""n Gussone, Fl. Sicul. Syn. 2: 874. 1845""","Calendula micrantha Tineo & Guss.","7","NULL",
