"ID","NOMENCLATURAL_CODE","LOCALITY","SCIENTIFIC_NAME","COLLECTOR","ORDER","CATALOG_NUMBER","GENUS","EARLIEST_DATE_COLLECTED","INFRASPECIFIC_EPITHET","BASIS_OF_RECORD","CONTINENT","FAMILY","COUNTRY","KINGDOM","MINIMUM_ELEVATION_IN_METERS","STATE_PROVINCE","INSTITUTION_CODE","PHYLUM","DECIMAL_LATITUDE","IDENTIFIED_BY","CLASSS","COLLECTION_CODE","SPECIFIC_EPITHET","DECIMAL_LONGITUDE"
"1","ICBN","Doganbey - Seferihisar. Near sea , 0m. N 38°06´25´´ O 26°51´03´´","Ballota acetabulosa (L.) Benth.","Markus Döring","Lamiales","1","Ballota","1999-06-18 00:00:00.0",,"PreservedSpecimen","Asia","Lamiaceae","TR","Plantae","0","Ïzmir","BGBM","Magnoliophyta","38.10695","Markus Döring",,"B","acetabulosa","26.85083"
"2","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Achillea falcata L.","Markus Döring","Asterales","1035","Achillea","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Asteraceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","falcata","34.56800"
"3","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Centaurea carduiformis var. carduiformis","Markus Döring","Asterales","1036","Centaurea","1999-07-30 00:00:00.0","carduiformis","PreservedSpecimen","Asia","Asteraceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","carduiformis","34.56800"
"4","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Sanguisorba minor subsp. muricata (Spach) Briq.","Markus Döring","Rosales","1037","Sanguisorba","1999-07-30 00:00:00.0","muricata","PreservedSpecimen","Asia","Rosaceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","minor","34.56800"
"5","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Xeranthemum annuum L.","Markus Döring","Asterales","1038","Xeranthemum","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Asteraceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","annuum","34.56800"
"6","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Astragalus haussknechtii Bunge","Markus Döring","Fabales","1039","Astragalus","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Fabaceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","haussknechtii","34.56800"
"7","ICBN","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit,","Corydalis erdelii Zucc.","Markus Döring","Papaverales","104","Corydalis","1999-06-21 00:00:00.0",,"PreservedSpecimen","Asia","Papaveraceae","TR","Plantae","2180","Mugla","BGBM","Magnoliophyta","37.07000","Markus Döring",,"B","erdelii","28.80000"
"8","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Festuca valesiaca Schleicher ex Gaudin","Markus Döring","Cyperales","1040","Festuca","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Poaceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","valesiaca","34.56800"
"9","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Koeleria macrantha (Ledeb.) Schult.","Markus Döring","Cyperales","1041","Koeleria","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Poaceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","macrantha","34.56800"
"10","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Onobrychis montana subsp. cadmea (Boiss.) P.W. Ball","Markus Döring","Fabales","1042","Onobrychis","1999-07-31 00:00:00.0","cadmea","PreservedSpecimen","Asia","Fabaceae","TR","Plantae","2200","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","montana","34.56800"
"11","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Gypsophila curvifolia Fenzl","Markus Döring","Caryophyllales","1043","Gypsophila","1999-07-31 00:00:00.0",,"PreservedSpecimen","Asia","Caryophyllaceae","TR","Plantae","2200","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","curvifolia","34.56800"
"12","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Plantago media L.","Markus Döring","Plantaginales","1044","Plantago","1999-07-31 00:00:00.0",,"PreservedSpecimen","Asia","Plantaginaceae","TR","Plantae","2200","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","media","34.56800"
"13","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Minuartia juniperina (L.) Maire & Petitm.","Markus Döring","Caryophyllales","1045","Minuartia","1999-07-31 00:00:00.0",,"PreservedSpecimen","Asia","Caryophyllaceae","TR","Plantae","2200","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","juniperina","34.56800"
"14","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Pimpinella tragium subsp. lithophila (I. Schischk.) Tutin","Markus Döring","Apiales","1046","Pimpinella","1999-07-31 00:00:00.0","lithophila","PreservedSpecimen","Asia","Apiaceae","TR","Plantae","2200","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","tragium","34.56800"
"15","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Asyneuma rigidum subsp. rigidum","Markus Döring","Campanulales","1047","Asyneuma","1999-07-31 00:00:00.0","rigidum","PreservedSpecimen","Asia","Campanulaceae","TR","Plantae","2200","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","rigidum","34.56800"
"16","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Silene armena var. armena","Markus Döring","Caryophyllales","1048","Silene","1999-07-31 00:00:00.0",,"PreservedSpecimen","Asia","Caryophyllaceae","TR","Plantae","2200","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","armena","34.56800"
"17","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Sideritis aff. phlomoides P.H.Davis & Hub.-Mor.","Markus Döring","Lamiales","1049","Sideritis","1999-07-31 00:00:00.0",,"PreservedSpecimen","Asia","Lamiaceae","TR","Plantae","2200","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","aff. phlomoides","34.56800"
"18","ICBN","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit,","Aethionema speciosum subsp. compactum Hartvig & Strid","Markus Döring","Capparales","105","Aethionema","1999-06-21 00:00:00.0","compactum","PreservedSpecimen","Asia","Brassicaceae","TR","Plantae","2180","Mugla","BGBM","Magnoliophyta","37.07000","Markus Döring",,"B","speciosum","28.80000"
"19","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m","Dianthus anatolicus Boiss.","Markus Döring","Caryophyllales","1050","Dianthus","1999-07-31 00:00:00.0",,"PreservedSpecimen","Asia","Caryophyllaceae","TR","Plantae","2120","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","anatolicus","34.56800"
"20","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m","Globularia trichosantha J.C.Fisch. & C.A.Mey.","Markus Döring","Scrophulariales","1051","Globularia","1999-07-31 00:00:00.0",,"PreservedSpecimen","Asia","Globulariaceae","TR","Plantae","2120","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","trichosantha","34.56800"
"21","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m","Aethionema iberideum (Boiss.) Boiss.","Markus Döring","Capparales","1052","Aethionema","1999-07-31 00:00:00.0",,"PreservedSpecimen","Asia","Brassicaceae","TR","Plantae","2120","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","iberideum","34.56800"
"22","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Salvia virgata Jacq.","Markus Döring","Lamiales","1054","Salvia","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Lamiaceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","virgata","34.56800"
"23","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Aethionema capitatum Boiss. & Balansa","Markus Döring","Capparales","1055","Aethionema","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Brassicaceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","capitatum","34.56800"
"24","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Erysimum pycnophyllum Gay","Markus Döring","Capparales","1056","Erysimum","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Brassicaceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","pycnophyllum","34.56800"
"25","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Sanguisorba minor subsp. muricata (Spach) Briq.","Markus Döring","Rosales","1057","Sanguisorba","1999-07-30 00:00:00.0","muricata","PreservedSpecimen","Asia","Rosaceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","minor","34.56800"
"26","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Centaurea virgata ?A? Lam.","Markus Döring","Asterales","1058","Centaurea","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Asteraceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","virgata ?A?","34.56800"
"27","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Thesium billardieri Boiss.","Markus Döring","Santalales","1059","Thesium","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Santalaceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","billardieri","34.56800"
"28","ICBN","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit,","Poa bulbosa agg. L.","Markus Döring","Cyperales","106","Poa","1999-06-21 00:00:00.0",,"PreservedSpecimen","Asia","Poaceae","TR","Plantae","2180","Mugla","BGBM","Magnoliophyta","37.07000","Markus Döring",,"B","bulbosa agg.","28.80000"
"29","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Juniperus oxycedrus subsp. oxycedrus","Markus Döring","Pinales","1060","Juniperus","1999-07-30 00:00:00.0","oxycedrus","PreservedSpecimen","Asia","Cupressaceae","TR","Plantae","2350","Nigde","BGBM","Pinophyta","37.42000","Markus Döring",,"B","oxycedrus","34.56800"
"30","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Silene pruinosa Boiss.","Markus Döring","Caryophyllales","1061","Silene","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Caryophyllaceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","pruinosa","34.56800"
"31","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Galium spec.","Markus Döring","Rubiales","1062","Galium","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Rubiaceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","spec.","34.56800"
"32","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Koeleria macrantha (Ledeb.) Schult.","Markus Döring","Cyperales","1063","Koeleria","1999-07-30 00:00:00.0",,"PreservedSpecimen","Asia","Poaceae","TR","Plantae","2350","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","macrantha","34.56800"
"33","ICBN","d. Ulukisla, Bolkar Daglari, slopes along the road from Meydan to tarn Karagöl, 2720m","Verbascum spec.","Markus Döring","Scrophulariales","1065","Verbascum","1999-07-31 00:00:00.0",,"PreservedSpecimen","Asia","Scrophulariaceae","TR","Plantae","2720","Nigde","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","spec.","34.56800"
"34","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 2600m","Marrubium cephalanthum Boiss. & Noe","Markus Döring","Lamiales","1066","Marrubium","1999-07-31 00:00:00.0",,"PreservedSpecimen","Asia","Lamiaceae","TR","Plantae","2600","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","cephalanthum","34.55800"
"35","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 2600m","Helichrysum pallasii Ledeb.","Markus Döring","Asterales","1067","Helichrysum","1999-07-31 00:00:00.0",,"PreservedSpecimen","Asia","Asteraceae","TR","Plantae","2600","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","pallasii","34.55800"
"36","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Minuartia recurva subsp. oreina (Mattf.) McNeill","Markus Döring","Caryophyllales","1068","Minuartia","1999-08-01 00:00:00.0","oreina","PreservedSpecimen","Asia","Caryophyllaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","recurva","34.55800"
